ID	prefLabel	Synonyms_from_taxonomy	Curated_synonyms	Comment	Classification	Classification_comment	Classification_pub
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_97		n22|MTG 018-019		cell_set_preferred_alias:'' ; original_label:n22 ; cell_set_label:MTG 018-019 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_18	Inh L2-5 VIP SERPINF1	MTG 018|Inh L2-5 VIP SERPINF1		cell_set_preferred_alias:Inh L2-5 VIP SERPINF1 ; original_label:Inh L2-5 VIP SERPINF1 ; cell_set_label:MTG 018 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_19	Inh L2-5 VIP TYR	MTG 019|Inh L2-5 VIP TYR		cell_set_preferred_alias:Inh L2-5 VIP TYR ; original_label:Inh L2-5 VIP TYR ; cell_set_label:MTG 019 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_98		MTG 020-027|n23		cell_set_preferred_alias:'' ; original_label:n23 ; cell_set_label:MTG 020-027 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_99		MTG 020-023|n24		cell_set_preferred_alias:'' ; original_label:n24 ; cell_set_label:MTG 020-023 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_100		MTG 020-022|n25		cell_set_preferred_alias:'' ; original_label:n25 ; cell_set_label:MTG 020-022 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_101		MTG 020-021|n26		cell_set_preferred_alias:'' ; original_label:n26 ; cell_set_label:MTG 020-021 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_20	Inh L1-3 VIP CHRM2	Inh L1-3 VIP CHRM2|MTG 020		cell_set_preferred_alias:Inh L1-3 VIP CHRM2 ; original_label:Inh L1-3 VIP CHRM2 ; cell_set_label:MTG 020 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_21	Inh L2-4 VIP CBLN1	MTG 021|Inh L2-4 VIP CBLN1		cell_set_preferred_alias:Inh L2-4 VIP CBLN1 ; original_label:Inh L2-4 VIP CBLN1 ; cell_set_label:MTG 021 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_22	Inh L1-3 VIP CCDC184	MTG 022|Inh L1-3 VIP CCDC184		cell_set_preferred_alias:Inh L1-3 VIP CCDC184 ; original_label:Inh L1-3 VIP CCDC184 ; cell_set_label:MTG 022 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
