ID	Label	PrefLabel	Entity Type	TYPE	Property Assertions	Synonyms	Function
ID	LABEL	A skos:prefLabel	TI %	TYPE	I BDSHELP:subcluster_of SPLIT='|'	A oboInOwl:has_exact_synonym	TI capable_of some %
AllenDend:CS201810310_134	All cells - CS201810310_134	 - CS201810310_134	BDSHELP:Cluster	owl:NamedIndividual		n1	
AllenDend:CS201810310_135	VISp_ALM 001-123 - CS201810310_135	 - CS201810310_135	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201810310_134	n2	
AllenDend:CS201810310_136	VISp_ALM 001-117 - CS201810310_136	Neuronal - CS201810310_136	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201810310_135	n3|Neuronal	
AllenDend:CS201810310_137	VISp_ALM 001-115 - CS201810310_137	 - CS201810310_137	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201810310_136	n4	
AllenDend:CS201810310_138	VISp_ALM 001-055 - CS201810310_138	Glutamatergic - CS201810310_138	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201810310_137	n5|Glutamatergic	
AllenDend:CS201810310_139	VISp_ALM 001-036 - CS201810310_139	 - CS201810310_139	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201810310_138	n6	
AllenDend:CS201810310_140	VISp_ALM 001-028 - CS201810310_140	 - CS201810310_140	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201810310_139	n7	
AllenDend:CS201810310_141	VISp_ALM 001-027 - CS201810310_141	 - CS201810310_141	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201810310_140	n8	
AllenDend:CS201810310_142	VISp_ALM 001-006 - CS201810310_142	L2/3 IT - CS201810310_142	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201810310_141	n9|L2/3 IT	
AllenDend:CS201810310_143	VISp_ALM 001-003 - CS201810310_143	 - CS201810310_143	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201810310_142	n10	
AllenDend:CS201810310_1	VISp_ALM 001 - CS201810310_1	L2/3 IT VISp Rrad - CS201810310_1	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201810310_143	L2/3 IT VISp Rrad	
AllenDend:CS201810310_144	VISp_ALM 002-003 - CS201810310_144	 - CS201810310_144	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201810310_143	n11	
AllenDend:CS201810310_2	VISp_ALM 002 - CS201810310_2	L2/3 IT VISp Adamts2 - CS201810310_2	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201810310_144	L2/3 IT VISp Adamts2	
AllenDend:CS201810310_3	VISp_ALM 003 - CS201810310_3	L2/3 IT VISp Agmat - CS201810310_3	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201810310_144	L2/3 IT VISp Agmat	
AllenDend:CS201810310_145	VISp_ALM 004-006 - CS201810310_145	 - CS201810310_145	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201810310_142	n12	
AllenDend:CS201810310_146	VISp_ALM 004-005 - CS201810310_146	 - CS201810310_146	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201810310_145	n13	
AllenDend:CS201810310_4	VISp_ALM 004 - CS201810310_4	L2/3 IT ALM Sla - CS201810310_4	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201810310_146	L2/3 IT ALM Sla	
AllenDend:CS201810310_5	VISp_ALM 005 - CS201810310_5	L2/3 IT ALM Ptrf - CS201810310_5	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201810310_146	L2/3 IT ALM Ptrf	
AllenDend:CS201810310_6	VISp_ALM 006 - CS201810310_6	L2/3 IT ALM Macc1 Lrg1 - CS201810310_6	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201810310_145	L2/3 IT ALM Macc1 Lrg1	
AllenDend:CS201810310_7	VISp_ALM 007 - CS201810310_7	L4 IT VISp Rspo1 - CS201810310_7	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201810310_141	L4 IT VISp Rspo1|L4	
