ID	Exemplar
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_112	AllenDend:CS201810310_112
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_238	AllenDend:CS201810310_238
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_113	AllenDend:CS201810310_113
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_114	AllenDend:CS201810310_114
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_115	AllenDend:CS201810310_115
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_239	AllenDend:CS201810310_239
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_116	AllenDend:CS201810310_116
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_117	AllenDend:CS201810310_117
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_240	AllenDend:CS201810310_240
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_241	AllenDend:CS201810310_241
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_118	AllenDend:CS201810310_118
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_242	AllenDend:CS201810310_242
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_119	AllenDend:CS201810310_119
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_120	AllenDend:CS201810310_120
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_243	AllenDend:CS201810310_243
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_121	AllenDend:CS201810310_121
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_244	AllenDend:CS201810310_244
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_122	AllenDend:CS201810310_122
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_123	AllenDend:CS201810310_123
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_245	AllenDend:CS201810310_245
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_246	AllenDend:CS201810310_246
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_247	AllenDend:CS201810310_247
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_248	AllenDend:CS201810310_248
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_124	AllenDend:CS201810310_124
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_249	AllenDend:CS201810310_249
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_125	AllenDend:CS201810310_125
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_250	AllenDend:CS201810310_250
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_126	AllenDend:CS201810310_126
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_127	AllenDend:CS201810310_127
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_251	AllenDend:CS201810310_251
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_128	AllenDend:CS201810310_128
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_129	AllenDend:CS201810310_129
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_252	AllenDend:CS201810310_252
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_130	AllenDend:CS201810310_130
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_131	AllenDend:CS201810310_131
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_253	AllenDend:CS201810310_253
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_132	AllenDend:CS201810310_132
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201810310_133	AllenDend:CS201810310_133
