ID	Exemplar	Exemplar_SC
ID	EC CL:0000003 and 'has_exemplar' value %	SC 'has_exemplar' value %
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_178	AllenDend:CS202002013_178	AllenDend:CS202002013_178
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_56	AllenDend:CS202002013_56	AllenDend:CS202002013_56
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_57	AllenDend:CS202002013_57	AllenDend:CS202002013_57
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_182	AllenDend:CS202002013_182	AllenDend:CS202002013_182
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_183	AllenDend:CS202002013_183	AllenDend:CS202002013_183
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_58	AllenDend:CS202002013_58	AllenDend:CS202002013_58
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_59	AllenDend:CS202002013_59	AllenDend:CS202002013_59
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_60	AllenDend:CS202002013_60	AllenDend:CS202002013_60
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_188	AllenDend:CS202002013_188	AllenDend:CS202002013_188
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_61	AllenDend:CS202002013_61	AllenDend:CS202002013_61
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_62	AllenDend:CS202002013_62	AllenDend:CS202002013_62
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_189	AllenDend:CS202002013_189	AllenDend:CS202002013_189
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_190	AllenDend:CS202002013_190	AllenDend:CS202002013_190
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_63	AllenDend:CS202002013_63	AllenDend:CS202002013_63
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_64	AllenDend:CS202002013_64	AllenDend:CS202002013_64
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_65	AllenDend:CS202002013_65	AllenDend:CS202002013_65
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_66	AllenDend:CS202002013_66	AllenDend:CS202002013_66
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_192	AllenDend:CS202002013_192	AllenDend:CS202002013_192
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_67	AllenDend:CS202002013_67	AllenDend:CS202002013_67
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_68	AllenDend:CS202002013_68	AllenDend:CS202002013_68
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_69	AllenDend:CS202002013_69	AllenDend:CS202002013_69
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_193	AllenDend:CS202002013_193	AllenDend:CS202002013_193
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_70	AllenDend:CS202002013_70	AllenDend:CS202002013_70
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_71	AllenDend:CS202002013_71	AllenDend:CS202002013_71
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_72	AllenDend:CS202002013_72	AllenDend:CS202002013_72
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_73	AllenDend:CS202002013_73	AllenDend:CS202002013_73
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_197	AllenDend:CS202002013_197	AllenDend:CS202002013_197
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_74	AllenDend:CS202002013_74	AllenDend:CS202002013_74
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_75	AllenDend:CS202002013_75	AllenDend:CS202002013_75
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_76	AllenDend:CS202002013_76	AllenDend:CS202002013_76
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_77	AllenDend:CS202002013_77	AllenDend:CS202002013_77
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_78	AllenDend:CS202002013_78	AllenDend:CS202002013_78
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_79	AllenDend:CS202002013_79	AllenDend:CS202002013_79
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_80	AllenDend:CS202002013_80	AllenDend:CS202002013_80
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_203	AllenDend:CS202002013_203	AllenDend:CS202002013_203
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_81	AllenDend:CS202002013_81	AllenDend:CS202002013_81
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_82	AllenDend:CS202002013_82	AllenDend:CS202002013_82
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_83	AllenDend:CS202002013_83	AllenDend:CS202002013_83
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_84	AllenDend:CS202002013_84	AllenDend:CS202002013_84
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_85	AllenDend:CS202002013_85	AllenDend:CS202002013_85
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_207	AllenDend:CS202002013_207	AllenDend:CS202002013_207
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_86	AllenDend:CS202002013_86	AllenDend:CS202002013_86
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_87	AllenDend:CS202002013_87	AllenDend:CS202002013_87
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_88	AllenDend:CS202002013_88	AllenDend:CS202002013_88
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_89	AllenDend:CS202002013_89	AllenDend:CS202002013_89
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_90	AllenDend:CS202002013_90	AllenDend:CS202002013_90
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_91	AllenDend:CS202002013_91	AllenDend:CS202002013_91
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_92	AllenDend:CS202002013_92	AllenDend:CS202002013_92
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_211	AllenDend:CS202002013_211	AllenDend:CS202002013_211
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_93	AllenDend:CS202002013_93	AllenDend:CS202002013_93
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_94	AllenDend:CS202002013_94	AllenDend:CS202002013_94
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_95	AllenDend:CS202002013_95	AllenDend:CS202002013_95
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_96	AllenDend:CS202002013_96	AllenDend:CS202002013_96
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_97	AllenDend:CS202002013_97	AllenDend:CS202002013_97
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_98	AllenDend:CS202002013_98	AllenDend:CS202002013_98
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_99	AllenDend:CS202002013_99	AllenDend:CS202002013_99
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_100	AllenDend:CS202002013_100	AllenDend:CS202002013_100
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_101	AllenDend:CS202002013_101	AllenDend:CS202002013_101
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_102	AllenDend:CS202002013_102	AllenDend:CS202002013_102
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_103	AllenDend:CS202002013_103	AllenDend:CS202002013_103
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_104	AllenDend:CS202002013_104	AllenDend:CS202002013_104
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_105	AllenDend:CS202002013_105	AllenDend:CS202002013_105
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_106	AllenDend:CS202002013_106	AllenDend:CS202002013_106
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_107	AllenDend:CS202002013_107	AllenDend:CS202002013_107
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_108	AllenDend:CS202002013_108	AllenDend:CS202002013_108
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_109	AllenDend:CS202002013_109	AllenDend:CS202002013_109
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_110	AllenDend:CS202002013_110	AllenDend:CS202002013_110
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_111	AllenDend:CS202002013_111	AllenDend:CS202002013_111
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_112	AllenDend:CS202002013_112	AllenDend:CS202002013_112
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_113	AllenDend:CS202002013_113	AllenDend:CS202002013_113
