""	"gene_id"	"gene_name"
"633"	"ENSMUSG00000037503"	"Fam168b"
"641"	"ENSMUSG00000026123"	"Plekhb2"
"645"	"ENSMUSG00000104417"	"Gm37068"
"646"	"ENSMUSG00000101714"	"Gm28415"
"647"	"ENSMUSG00000102531"	"1110002O04Rik"
"648"	"ENSMUSG00000102279"	"Gm37146"
"649"	"ENSMUSG00000103708"	"Gm33222"
"651"	"ENSMUSG00000104201"	"4930535G08Rik"
"652"	"ENSMUSG00000045216"	"Hs6st1"
"654"	"ENSMUSG00000104523"	"Gm37335"
"655"	"ENSMUSG00000102202"	"Gm33280"
"656"	"ENSMUSG00000037470"	"Uggt1"
"667"	"ENSMUSG00000047180"	"Neurl3"
"669"	"ENSMUSG00000037447"	"Arid5a"
"684"	"ENSMUSG00000102762"	"4930403P22Rik"
"685"	"ENSMUSG00000010453"	"Kansl3"
"694"	"ENSMUSG00000037432"	"Fer1l5"
"697"	"ENSMUSG00000001143"	"Lman2l"
"705"	"ENSMUSG00000037408"	"Cnnm4"
"707"	"ENSMUSG00000001138"	"Cnnm3"
"712"	"ENSMUSG00000102845"	"Gm38033"
"713"	"ENSMUSG00000067653"	"Ankrd23"
"717"	"ENSMUSG00000109510"	"Gm42417"
"719"	"ENSMUSG00000079610"	"Ankrd39"
"725"	"ENSMUSG00000026121"	"Sema4c"
"733"	"ENSMUSG00000046337"	"Fam178b"
"741"	"ENSMUSG00000061518"	"Cox5b"
"747"	"ENSMUSG00000037351"	"Actr1b"
"754"	"ENSMUSG00000102416"	"4933424G06Rik"
"758"	"ENSMUSG00000104237"	"Gm33533"
"759"	"ENSMUSG00000026117"	"Zap70"
"763"	"ENSMUSG00000026116"	"Tmem131"
"771"	"ENSMUSG00000050122"	"Vwa3b"
"781"	"ENSMUSG00000103603"	"Gm37020"
"782"	"ENSMUSG00000026114"	"Cnga3"
"786"	"ENSMUSG00000026113"	"Inpp4a"
"799"	"ENSMUSG00000086064"	"4930439A04Rik"
"801"	"ENSMUSG00000026112"	"Coa5"
"803"	"ENSMUSG00000026111"	"Unc50"
"810"	"ENSMUSG00000026110"	"Mgat4a"
"818"	"ENSMUSG00000026090"	"2010300C02Rik"
"821"	"ENSMUSG00000089767"	"4930556I23Rik"
"822"	"ENSMUSG00000060771"	"Tsga10"
"830"	"ENSMUSG00000097268"	"Gm26805"
"831"	"ENSMUSG00000037216"	"Lipt1"
"835"	"ENSMUSG00000026088"	"Mitd1"
"840"	"ENSMUSG00000026087"	"Mrpl30"
"847"	"ENSMUSG00000061584"	"Lyg2"
"848"	"ENSMUSG00000087374"	"Gm15457"
"849"	"ENSMUSG00000026085"	"Lyg1"
"852"	"ENSMUSG00000058407"	"Txndc9"
"860"	"ENSMUSG00000026083"	"Eif5b"
"865"	"ENSMUSG00000026082"	"Rev1"
"876"	"ENSMUSG00000102716"	"Gm5099"
"877"	"ENSMUSG00000037138"	"Aff3"
"883"	"ENSMUSG00000085391"	"Gm16150"
"885"	"ENSMUSG00000085280"	"Gm16151"
"886"	"ENSMUSG00000087131"	"Gm16152"
"888"	"ENSMUSG00000048814"	"Lonrf2"
"891"	"ENSMUSG00000026080"	"Chst10"
"899"	"ENSMUSG00000103647"	"Gm37707"
"900"	"ENSMUSG00000067604"	"Nms"
"902"	"ENSMUSG00000026078"	"Pdcl3"
"906"	"ENSMUSG00000104188"	"Gm37821"
"907"	"ENSMUSG00000026077"	"Npas2"
"910"	"ENSMUSG00000073702"	"Rpl31"
"916"	"ENSMUSG00000003134"	"Tbc1d8"
"921"	"ENSMUSG00000003135"	"Cnot11"
"925"	"ENSMUSG00000048234"	"Rnf149"
"929"	"ENSMUSG00000050967"	"Creg2"
"930"	"ENSMUSG00000097083"	"D930019O06Rik"
"931"	"ENSMUSG00000057173"	"Rfx8"
"933"	"ENSMUSG00000091937"	"Gm3646"
"934"	"ENSMUSG00000101634"	"1700066B17Rik"
"937"	"ENSMUSG00000026074"	"Map4k4"
"955"	"ENSMUSG00000026073"	"Il1r2"
"959"	"ENSMUSG00000097899"	"Gm16894"
"960"	"ENSMUSG00000026072"	"Il1r1"
"963"	"ENSMUSG00000070942"	"Il1rl2"
"967"	"ENSMUSG00000026069"	"Il1rl1"
"972"	"ENSMUSG00000026070"	"Il18r1"
"978"	"ENSMUSG00000026068"	"Il18rap"
"982"	"ENSMUSG00000104441"	"Gm35801"
"984"	"ENSMUSG00000026065"	"Slc9a4"
"988"	"ENSMUSG00000026062"	"Slc9a2"
"991"	"ENSMUSG00000103679"	"Gm37623"
"992"	"ENSMUSG00000103270"	"Gm37915"
"993"	"ENSMUSG00000041945"	"Mfsd9"
"996"	"ENSMUSG00000079588"	"Tmem182"
"997"	"ENSMUSG00000104072"	"4930448I06Rik"
"998"	"ENSMUSG00000100185"	"Gm28634"
"999"	"ENSMUSG00000100832"	"Gm29260"
"1001"	"ENSMUSG00000053640"	"Gm9915"
"1003"	"ENSMUSG00000101919"	"Gm29664"
"1004"	"ENSMUSG00000101299"	"Gm28175"
"1006"	"ENSMUSG00000100180"	"Gm28140"
"1007"	"ENSMUSG00000060424"	"Pantr1"
"1019"	"ENSMUSG00000045515"	"Pou3f3"
"1020"	"ENSMUSG00000099784"	"Dalir"
"1021"	"ENSMUSG00000060679"	"Mrps9"
"1028"	"ENSMUSG00000041907"	"Gpr45"
"1033"	"ENSMUSG00000070939"	"Tgfbrap1"
"1041"	"ENSMUSG00000100269"	"Gm28782"
"1042"	"ENSMUSG00000041878"	"8430432A02Rik"
"1043"	"ENSMUSG00000010290"	"AI597479"
"1044"	"ENSMUSG00000008136"	"Fhl2"
"1047"	"ENSMUSG00000099576"	"Gm29040"
"1048"	"ENSMUSG00000066877"	"Nck2"
"1054"	"ENSMUSG00000026051"	"1500015O10Rik"
"1055"	"ENSMUSG00000100764"	"Gm29155"
"1057"	"ENSMUSG00000100635"	"Gm29157"
"1058"	"ENSMUSG00000100480"	"Gm29156"
"1059"	"ENSMUSG00000057363"	"Uxs1"
"1067"	"ENSMUSG00000041763"	"Tpp2"
"1077"	"ENSMUSG00000047343"	"Mettl21c"
"1080"	"ENSMUSG00000091844"	"Gm8251"
"1081"	"ENSMUSG00000026049"	"Tex30"
"1094"	"ENSMUSG00000026047"	"Kdelc1"
"1099"	"ENSMUSG00000041684"	"Bivm"
"1105"	"ENSMUSG00000026048"	"Ercc5"
"1112"	"ENSMUSG00000046828"	"Mettl21e"
"1114"	"ENSMUSG00000056870"	"Gulp1"
"1120"	"ENSMUSG00000101701"	"4930521E06Rik"
"1121"	"ENSMUSG00000026043"	"Col3a1"
"1128"	"ENSMUSG00000026042"	"Col5a2"
"1132"	"ENSMUSG00000025995"	"Wdr75"
"1141"	"ENSMUSG00000098549"	"Gm5269"
"1143"	"ENSMUSG00000025993"	"Slc40a1"
"1151"	"ENSMUSG00000041144"	"Dnah7b"
"1157"	"ENSMUSG00000101337"	"Dnah7c"
"1162"	"ENSMUSG00000025986"	"Slc39a10"
"1166"	"ENSMUSG00000100213"	"Gm28151"
"1167"	"ENSMUSG00000101447"	"Gm28826"
"1168"	"ENSMUSG00000051616"	"C230029F24Rik"
"1170"	"ENSMUSG00000099608"	"4933411E06Rik"
"1171"	"ENSMUSG00000100451"	"Gm29665"
"1172"	"ENSMUSG00000100816"	"Gm28321"
"1173"	"ENSMUSG00000026109"	"Tmeff2"
"1177"	"ENSMUSG00000100671"	"Gm28322"
"1178"	"ENSMUSG00000101242"	"Gm28319"
"1179"	"ENSMUSG00000099625"	"Gm29325"
"1180"	"ENSMUSG00000101799"	"9330175M20Rik"
"1181"	"ENSMUSG00000045954"	"Cavin2"
"1182"	"ENSMUSG00000101702"	"1700072G22Rik"
"1183"	"ENSMUSG00000026107"	"Nabp1"
"1193"	"ENSMUSG00000099413"	"Gm17767"
"1195"	"ENSMUSG00000101741"	"Gm28055"
"1197"	"ENSMUSG00000018417"	"Myo1b"
"1212"	"ENSMUSG00000062939"	"Stat4"
"1216"	"ENSMUSG00000109599"	"Gm31812"
"1217"	"ENSMUSG00000026104"	"Stat1"
"1229"	"ENSMUSG00000026103"	"Gls"
"1246"	"ENSMUSG00000002881"	"Nab1"
"1251"	"ENSMUSG00000100120"	"Gm553"
"1252"	"ENSMUSG00000099878"	"Gm28178"
"1253"	"ENSMUSG00000043015"	"Nemp2"
"1261"	"ENSMUSG00000041439"	"Mfsd6"
"1267"	"ENSMUSG00000026102"	"Inpp1"
"1273"	"ENSMUSG00000041426"	"Hibch"
"1280"	"ENSMUSG00000043629"	"1700019D03Rik"
"1287"	"ENSMUSG00000026100"	"Mstn"
"1289"	"ENSMUSG00000060715"	"1700019A02Rik"
"1291"	"ENSMUSG00000026098"	"Pms1"
"1299"	"ENSMUSG00000100763"	"Gm28777"
"1300"	"ENSMUSG00000026097"	"Ormdl1"
"1302"	"ENSMUSG00000100679"	"Gm28778"
"1303"	"ENSMUSG00000026096"	"Osgepl1"
"1310"	"ENSMUSG00000099913"	"Gm28551"
"1311"	"ENSMUSG00000026095"	"Asnsd1"
"1316"	"ENSMUSG00000096141"	"Dnah7a"
"1318"	"ENSMUSG00000026094"	"Stk17b"
"1321"	"ENSMUSG00000042807"	"Hecw2"
"1327"	"ENSMUSG00000025983"	"Ccdc150"
"1332"	"ENSMUSG00000041303"	"Gtf3c3"
"1335"	"ENSMUSG00000109809"	"Gm34066"
"1336"	"ENSMUSG00000073678"	"Pgap1"
"1340"	"ENSMUSG00000052331"	"Ankrd44"
"1355"	"ENSMUSG00000101674"	"4930444A19Rik"
"1357"	"ENSMUSG00000025982"	"Sf3b1"
"1365"	"ENSMUSG00000025981"	"Coq10b"
"1369"	"ENSMUSG00000025980"	"Hspd1"
"1372"	"ENSMUSG00000073676"	"Hspe1"
"1374"	"ENSMUSG00000025979"	"Mob4"
"1382"	"ENSMUSG00000025978"	"Rftn2"
"1387"	"ENSMUSG00000097649"	"Gm10561"
"1389"	"ENSMUSG00000046994"	"Mars2"
"1390"	"ENSMUSG00000025977"	"Boll"
"1397"	"ENSMUSG00000038349"	"Plcl1"
"1399"	"ENSMUSG00000099950"	"9130227L01Rik"
"1401"	"ENSMUSG00000100372"	"1700003I22Rik"
"1403"	"ENSMUSG00000101332"	"Gm28240"
"1404"	"ENSMUSG00000045336"	"Hsfy2"
"1405"	"ENSMUSG00000038331"	"Satb2"
"1410"	"ENSMUSG00000099945"	"1700126A01Rik"
"1411"	"ENSMUSG00000101429"	"BC055402"
"1412"	"ENSMUSG00000097519"	"4930558J18Rik"
"1413"	"ENSMUSG00000038323"	"1700066M21Rik"
"1416"	"ENSMUSG00000048495"	"Tyw5"
"1426"	"ENSMUSG00000025971"	"Maip1"
"1428"	"ENSMUSG00000038305"	"Spats2l"
"1443"	"ENSMUSG00000091283"	"Gm17234"
"1444"	"ENSMUSG00000054770"	"Kctd18"
"1455"	"ENSMUSG00000026039"	"Sgo2a"
"1457"	"ENSMUSG00000063558"	"Aox1"
"1459"	"ENSMUSG00000064294"	"Aox3"
"1464"	"ENSMUSG00000038242"	"Aox4"
"1469"	"ENSMUSG00000089822"	"Gm15759"
"1470"	"ENSMUSG00000079554"	"Aox2"
"1471"	"ENSMUSG00000051223"	"Bzw1"
"1475"	"ENSMUSG00000026034"	"Clk1"
"1488"	"ENSMUSG00000026035"	"Ppil3"
"1497"	"ENSMUSG00000026036"	"Nif3l1"
"1505"	"ENSMUSG00000026037"	"Orc2"
"1510"	"ENSMUSG00000085054"	"Gm15834"
"1513"	"ENSMUSG00000038174"	"Fam126b"
"1522"	"ENSMUSG00000026032"	"Ndufb3"
"1523"	"ENSMUSG00000047528"	"Als2cr12"
"1529"	"ENSMUSG00000026031"	"Cflar"
"1542"	"ENSMUSG00000026029"	"Casp8"
"1546"	"ENSMUSG00000026028"	"Trak2"
"1552"	"ENSMUSG00000026027"	"Stradb"
"1559"	"ENSMUSG00000047383"	"C2cd6b"
"1560"	"ENSMUSG00000099752"	"Gm29018"
"1562"	"ENSMUSG00000072295"	"C2cd6"
"1564"	"ENSMUSG00000038079"	"Tmem237"
"1571"	"ENSMUSG00000097573"	"G730003C15Rik"
"1573"	"ENSMUSG00000079550"	"Mpp4"
"1583"	"ENSMUSG00000101586"	"Gm29017"
"1584"	"ENSMUSG00000026024"	"Als2"
"1589"	"ENSMUSG00000026023"	"Cdk15"
"1593"	"ENSMUSG00000099922"	"Gm29016"
"1594"	"ENSMUSG00000041075"	"Fzd7"
"1595"	"ENSMUSG00000097819"	"Gm26813"
"1596"	"ENSMUSG00000047361"	"Gm973"
"1606"	"ENSMUSG00000099811"	"Gm28411"
"1608"	"ENSMUSG00000101409"	"1700122D07Rik"
"1609"	"ENSMUSG00000026021"	"Sumo1"
"1613"	"ENSMUSG00000026020"	"Nop58"
"1628"	"ENSMUSG00000067336"	"Bmpr2"
"1631"	"ENSMUSG00000041040"	"Fam117b"
"1634"	"ENSMUSG00000026018"	"Ica1l"
"1640"	"ENSMUSG00000026019"	"Wdr12"
"1648"	"ENSMUSG00000026017"	"Carf"
"1658"	"ENSMUSG00000073664"	"Nbeal1"
"1668"	"ENSMUSG00000049439"	"Cyp20a1"
"1671"	"ENSMUSG00000026782"	"Abi2"
"1683"	"ENSMUSG00000026014"	"Raph1"
"1691"	"ENSMUSG00000026012"	"Cd28"
"1694"	"ENSMUSG00000086795"	"Gm11579"
"1695"	"ENSMUSG00000085965"	"2310016D23Rik"
"1696"	"ENSMUSG00000026011"	"Ctla4"
"1699"	"ENSMUSG00000026009"	"Icos"
"1701"	"ENSMUSG00000100893"	"Gm28083"
"1702"	"ENSMUSG00000085248"	"Gm11587"
"1703"	"ENSMUSG00000085447"	"9530026F06Rik"
"1704"	"ENSMUSG00000086408"	"Gm11588"
"1705"	"ENSMUSG00000100965"	"Gm28449"
"1706"	"ENSMUSG00000086009"	"4930587A21Rik"
"1707"	"ENSMUSG00000052062"	"Pard3b"
"1713"	"ENSMUSG00000085842"	"Pard3bos1"
"1715"	"ENSMUSG00000085019"	"Pard3bos2"
"1716"	"ENSMUSG00000085400"	"Pard3bos3"
"1717"	"ENSMUSG00000100750"	"Gm29084"
"1718"	"ENSMUSG00000025969"	"Nrp2"
"1725"	"ENSMUSG00000100811"	"Gm29083"
"1726"	"ENSMUSG00000100426"	"Gm4208"
"1727"	"ENSMUSG00000040865"	"Ino80d"
"1734"	"ENSMUSG00000084799"	"Ino80dos"
"1738"	"ENSMUSG00000101599"	"Gm20342"
"1739"	"ENSMUSG00000025968"	"Ndufs1"
"1752"	"ENSMUSG00000025967"	"Eef1b2"
"1761"	"ENSMUSG00000046856"	"Gpr1"
"1763"	"ENSMUSG00000087561"	"Gm11608"
"1765"	"ENSMUSG00000027520"	"Zdbf2"
"1768"	"ENSMUSG00000025964"	"Adam23"
"1780"	"ENSMUSG00000115378"	"Gm39653"
"1781"	"ENSMUSG00000069085"	"Dytn"
"1783"	"ENSMUSG00000025963"	"Mdh1b"
"1784"	"ENSMUSG00000025962"	"Fastkd2"
"1790"	"ENSMUSG00000025961"	"4933402D24Rik"
"1791"	"ENSMUSG00000044689"	"Gm13749"
"1792"	"ENSMUSG00000025959"	"Klf7"
"1795"	"ENSMUSG00000097272"	"Gm26649"
"1796"	"ENSMUSG00000086836"	"Gm13748"
"1797"	"ENSMUSG00000101895"	"Gm28981"
"1798"	"ENSMUSG00000025958"	"Creb1"
"1809"	"ENSMUSG00000025956"	"Mettl21a"
"1813"	"ENSMUSG00000101832"	"Gm28982"
"1814"	"ENSMUSG00000100437"	"Gm29152"
"1815"	"ENSMUSG00000070871"	"Ccnyl1"
"1819"	"ENSMUSG00000045005"	"Fzd5"
"1821"	"ENSMUSG00000051344"	"Plekhm3"
"1827"	"ENSMUSG00000025955"	"Akr1cl"
"1833"	"ENSMUSG00000070870"	"Cryge"
"1835"	"ENSMUSG00000067299"	"Crygd"
"1838"	"ENSMUSG00000025952"	"Crygc"
"1840"	"ENSMUSG00000073658"	"Crygb"
"1841"	"ENSMUSG00000044429"	"Cryga"
"1843"	"ENSMUSG00000100846"	"Gm28845"
"1844"	"ENSMUSG00000044816"	"D630023F18Rik"
"1847"	"ENSMUSG00000025950"	"Idh1"
"1854"	"ENSMUSG00000025949"	"Pikfyve"
"1865"	"ENSMUSG00000025946"	"Pth2r"
"1867"	"ENSMUSG00000025945"	"Crygf"
"1869"	"ENSMUSG00000015222"	"Map2"
"1893"	"ENSMUSG00000073656"	"Gm10558"
"1894"	"ENSMUSG00000055567"	"Unc80"
"1900"	"ENSMUSG00000026005"	"Rpe"
"1905"	"ENSMUSG00000026004"	"Kansl1l"
"1910"	"ENSMUSG00000026003"	"Acadl"
"1912"	"ENSMUSG00000061816"	"Myl1"
"1920"	"ENSMUSG00000026000"	"Lancl1"
"1926"	"ENSMUSG00000025991"	"Cps1"
"1927"	"ENSMUSG00000086204"	"Gm15668"
"1928"	"ENSMUSG00000085075"	"Gm15669"
"1929"	"ENSMUSG00000087329"	"Gm15671"
"1930"	"ENSMUSG00000062209"	"Erbb4"
"1935"	"ENSMUSG00000099804"	"Gm28497"
"1936"	"ENSMUSG00000100354"	"Gm29113"
"1937"	"ENSMUSG00000101156"	"Gm29114"
"1938"	"ENSMUSG00000025997"	"Ikzf2"
"1947"	"ENSMUSG00000053153"	"Spag16"
"1954"	"ENSMUSG00000045648"	"Vwc2l"
"1958"	"ENSMUSG00000026196"	"Bard1"
"1959"	"ENSMUSG00000050296"	"Abca12"
"1964"	"ENSMUSG00000026192"	"Atic"
"1970"	"ENSMUSG00000026193"	"Fn1"
"1987"	"ENSMUSG00000073652"	"Apol7d"
"1991"	"ENSMUSG00000099707"	"Gm8883"
"1995"	"ENSMUSG00000101211"	"Gm28818"
"1997"	"ENSMUSG00000101848"	"4933417E11Rik"
"1998"	"ENSMUSG00000101764"	"4930556G22Rik"
"1999"	"ENSMUSG00000102123"	"Gm4319"
"2000"	"ENSMUSG00000039395"	"Mreg"
"2001"	"ENSMUSG00000097131"	"D230017M19Rik"
"2004"	"ENSMUSG00000026189"	"Pecr"
"2008"	"ENSMUSG00000026188"	"Tmem169"
"2010"	"ENSMUSG00000026187"	"Xrcc5"
"2011"	"ENSMUSG00000039372"	"March4"
"2012"	"ENSMUSG00000039354"	"Smarcal1"
"2021"	"ENSMUSG00000110712"	"Gm39662"
"2023"	"ENSMUSG00000039342"	"Ankar"
"2027"	"ENSMUSG00000046330"	"Rpl37a"
"2031"	"ENSMUSG00000039323"	"Igfbp2"
"2034"	"ENSMUSG00000026185"	"Igfbp5"
"2036"	"ENSMUSG00000101968"	"1700027A15Rik"
"2041"	"ENSMUSG00000026182"	"Tnp1"
"2042"	"ENSMUSG00000101112"	"Gm29185"
"2043"	"ENSMUSG00000099877"	"Pinc"
"2045"	"ENSMUSG00000101812"	"D530049I02Rik"
"2046"	"ENSMUSG00000100444"	"C530043A13Rik"
"2049"	"ENSMUSG00000100429"	"Gm29186"
"2050"	"ENSMUSG00000100301"	"6030407O03Rik"
"2052"	"ENSMUSG00000101344"	"Gm29183"
"2053"	"ENSMUSG00000055322"	"Tns1"
"2075"	"ENSMUSG00000061815"	"Rufy4"
"2077"	"ENSMUSG00000026180"	"Cxcr2"
"2079"	"ENSMUSG00000048480"	"Cxcr1"
"2081"	"ENSMUSG00000006304"	"Arpc2"
"2085"	"ENSMUSG00000064272"	"Gpbar1"
