ID	CLASS_TYPE	Evidence	Gross_cell_type	Brain_region	Marker1	Marker2	Marker3	Marker4	Marker5	Marker6	Marker7	Marker8	Marker9	Marker10	Marker11	Marker12	Marker13	Marker14	Marker15	Marker16	Marker17
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_129	equivalent	http://www.semanticweb.org/brain_data_standards/AllenDend_CS202002013_129	CL:0011005	UBERON:0001384	ensembl:ENSMUSG00000010175	ensembl:ENSMUSG00000051111	ensembl:ENSMUSG00000052551	ensembl:ENSMUSG00000075270	ensembl:ENSMUSG00000029819												
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_130	equivalent	http://www.semanticweb.org/brain_data_standards/AllenDend_CS202002013_130	CL:0011005	UBERON:0001384	ensembl:ENSMUSG00000010175	ensembl:ENSMUSG00000051111	ensembl:ENSMUSG00000052551	ensembl:ENSMUSG00000005672	ensembl:ENSMUSG00000075270	ensembl:ENSMUSG00000029819											
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_131	equivalent	http://www.semanticweb.org/brain_data_standards/AllenDend_CS202002013_131	CL:0011005	UBERON:0001384	ensembl:ENSMUSG00000010175	ensembl:ENSMUSG00000051111	ensembl:ENSMUSG00000049001	ensembl:ENSMUSG00000052551	ensembl:ENSMUSG00000005672	ensembl:ENSMUSG00000075270	ensembl:ENSMUSG00000029819										
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_5	equivalent	http://www.semanticweb.org/brain_data_standards/AllenDend_CS202002013_5	CL:0011005	UBERON:0001384	ensembl:ENSMUSG00000010175	ensembl:ENSMUSG00000027971	ensembl:ENSMUSG00000051111	ensembl:ENSMUSG00000049001	ensembl:ENSMUSG00000044447	ensembl:ENSMUSG00000052551	ensembl:ENSMUSG00000005672	ensembl:ENSMUSG00000075270	ensembl:ENSMUSG00000029819								
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_6	equivalent	http://www.semanticweb.org/brain_data_standards/AllenDend_CS202002013_6	CL:0011005	UBERON:0001384	ensembl:ENSMUSG00000010175	ensembl:ENSMUSG00000051111	ensembl:ENSMUSG00000049001	ensembl:ENSMUSG00000052551	ensembl:ENSMUSG00000005672	ensembl:ENSMUSG00000075270	ensembl:ENSMUSG00000029819										
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_7	equivalent	http://www.semanticweb.org/brain_data_standards/AllenDend_CS202002013_7	CL:0011005	UBERON:0001384	ensembl:ENSMUSG00000010175	ensembl:ENSMUSG00000051111	ensembl:ENSMUSG00000022231	ensembl:ENSMUSG00000055471	ensembl:ENSMUSG00000052551	ensembl:ENSMUSG00000005672	ensembl:ENSMUSG00000075270	ensembl:ENSMUSG00000029819									
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_8	equivalent	http://www.semanticweb.org/brain_data_standards/AllenDend_CS202002013_8	CL:0011005	UBERON:0001384	ensembl:ENSMUSG00000010175	ensembl:ENSMUSG00000051111	ensembl:ENSMUSG00000110002	ensembl:ENSMUSG00000052551	ensembl:ENSMUSG00000029361	ensembl:ENSMUSG00000075270	ensembl:ENSMUSG00000029819										
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_132	equivalent	http://www.semanticweb.org/brain_data_standards/AllenDend_CS202002013_132	CL:0011005	UBERON:0001384	ensembl:ENSMUSG00000010175	ensembl:ENSMUSG00000052551	ensembl:ENSMUSG00000019772														
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_133	equivalent	http://www.semanticweb.org/brain_data_standards/AllenDend_CS202002013_133	CL:0011005	UBERON:0001384	ensembl:ENSMUSG00000010175	ensembl:ENSMUSG00000052551	ensembl:ENSMUSG00000019772	ensembl:ENSMUSG00000058897	ensembl:ENSMUSG00000044288												
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_134	equivalent	http://www.semanticweb.org/brain_data_standards/AllenDend_CS202002013_134	CL:0011005	UBERON:0001384	ensembl:ENSMUSG00000010175	ensembl:ENSMUSG00000059049	ensembl:ENSMUSG00000048967	ensembl:ENSMUSG00000052551	ensembl:ENSMUSG00000019772	ensembl:ENSMUSG00000058897	ensembl:ENSMUSG00000044288										
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_9	equivalent	http://www.semanticweb.org/brain_data_standards/AllenDend_CS202002013_9	CL:0011005	UBERON:0001384	ensembl:ENSMUSG00000010175	ensembl:ENSMUSG00000039385	ensembl:ENSMUSG00000059049	ensembl:ENSMUSG00000048967	ensembl:ENSMUSG00000015766	ensembl:ENSMUSG00000052551	ensembl:ENSMUSG00000019772	ensembl:ENSMUSG00000058897	ensembl:ENSMUSG00000044288								
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_10	equivalent	http://www.semanticweb.org/brain_data_standards/AllenDend_CS202002013_10	CL:0011005	UBERON:0001384	ensembl:ENSMUSG00000010175	ensembl:ENSMUSG00000059049	ensembl:ENSMUSG00000019935	ensembl:ENSMUSG00000048967	ensembl:ENSMUSG00000052551	ensembl:ENSMUSG00000019772	ensembl:ENSMUSG00000058897	ensembl:ENSMUSG00000044288									
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_135	equivalent	http://www.semanticweb.org/brain_data_standards/AllenDend_CS202002013_135	CL:0011005	UBERON:0001384	ensembl:ENSMUSG00000010175	ensembl:ENSMUSG00000028004	ensembl:ENSMUSG00000058897	ensembl:ENSMUSG00000052551	ensembl:ENSMUSG00000019772	ensembl:ENSMUSG00000029101	ensembl:ENSMUSG00000044288										
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_136	equivalent	http://www.semanticweb.org/brain_data_standards/AllenDend_CS202002013_136	CL:0011005	UBERON:0001384	ensembl:ENSMUSG00000010175	ensembl:ENSMUSG00000019772	ensembl:ENSMUSG00000028004	ensembl:ENSMUSG00000029101	ensembl:ENSMUSG00000052551	ensembl:ENSMUSG00000028364	ensembl:ENSMUSG00000058897	ensembl:ENSMUSG00000044288									
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_11	equivalent	http://www.semanticweb.org/brain_data_standards/AllenDend_CS202002013_11	CL:0011005	UBERON:0001384	ensembl:ENSMUSG00000010175	ensembl:ENSMUSG00000042045	ensembl:ENSMUSG00000019772	ensembl:ENSMUSG00000028004	ensembl:ENSMUSG00000027849	ensembl:ENSMUSG00000058897	ensembl:ENSMUSG00000063661	ensembl:ENSMUSG00000052551	ensembl:ENSMUSG00000028364	ensembl:ENSMUSG00000029101	ensembl:ENSMUSG00000044288						
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_12	equivalent	http://www.semanticweb.org/brain_data_standards/AllenDend_CS202002013_12	CL:0011005	UBERON:0001384	ensembl:ENSMUSG00000028222	ensembl:ENSMUSG00000010175	ensembl:ENSMUSG00000019772	ensembl:ENSMUSG00000028004	ensembl:ENSMUSG00000027849	ensembl:ENSMUSG00000024376	ensembl:ENSMUSG00000058897	ensembl:ENSMUSG00000052551	ensembl:ENSMUSG00000028364	ensembl:ENSMUSG00000029101	ensembl:ENSMUSG00000044288						
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_137	equivalent	http://www.semanticweb.org/brain_data_standards/AllenDend_CS202002013_137	CL:0011005	UBERON:0001384	ensembl:ENSMUSG00000010175	ensembl:ENSMUSG00000028004	ensembl:ENSMUSG00000058897	ensembl:ENSMUSG00000052551	ensembl:ENSMUSG00000019772	ensembl:ENSMUSG00000029101	ensembl:ENSMUSG00000044288										
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_13	equivalent	http://www.semanticweb.org/brain_data_standards/AllenDend_CS202002013_13	CL:0011005	UBERON:0001384	ensembl:ENSMUSG00000010175	ensembl:ENSMUSG00000028004	ensembl:ENSMUSG00000058897	ensembl:ENSMUSG00000052551	ensembl:ENSMUSG00000019772	ensembl:ENSMUSG00000029101	ensembl:ENSMUSG00000044288										
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_14	equivalent	http://www.semanticweb.org/brain_data_standards/AllenDend_CS202002013_14	CL:0011005	UBERON:0001384	ensembl:ENSMUSG00000010175	ensembl:ENSMUSG00000028004	ensembl:ENSMUSG00000058897	ensembl:ENSMUSG00000022656	ensembl:ENSMUSG00000049796	ensembl:ENSMUSG00000052551	ensembl:ENSMUSG00000019772	ensembl:ENSMUSG00000029101	ensembl:ENSMUSG00000020099	ensembl:ENSMUSG00000044288							
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_138	equivalent	http://www.semanticweb.org/brain_data_standards/AllenDend_CS202002013_138	CL:0011005	UBERON:0001384	ensembl:ENSMUSG00000010175	ensembl:ENSMUSG00000052551	ensembl:ENSMUSG00000019772														
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_139	equivalent	http://www.semanticweb.org/brain_data_standards/AllenDend_CS202002013_139	CL:0011005	UBERON:0001384	ensembl:ENSMUSG00000010175	ensembl:ENSMUSG00000022425	ensembl:ENSMUSG00000022371	ensembl:ENSMUSG00000052551	ensembl:ENSMUSG00000038718	ensembl:ENSMUSG00000019772											
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_140	equivalent	http://www.semanticweb.org/brain_data_standards/AllenDend_CS202002013_140	CL:0011005	UBERON:0001384	ensembl:ENSMUSG00000010175	ensembl:ENSMUSG00000022425	ensembl:ENSMUSG00000069911	ensembl:ENSMUSG00000037362	ensembl:ENSMUSG00000022371	ensembl:ENSMUSG00000052551	ensembl:ENSMUSG00000038718	ensembl:ENSMUSG00000019772	ensembl:ENSMUSG00000084908								
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_15	equivalent	http://www.semanticweb.org/brain_data_standards/AllenDend_CS202002013_15	CL:0011005	UBERON:0001384	ensembl:ENSMUSG00000010175	ensembl:ENSMUSG00000022425	ensembl:ENSMUSG00000069911	ensembl:ENSMUSG00000026475	ensembl:ENSMUSG00000022371	ensembl:ENSMUSG00000027996	ensembl:ENSMUSG00000037362	ensembl:ENSMUSG00000052551	ensembl:ENSMUSG00000038718	ensembl:ENSMUSG00000019772	ensembl:ENSMUSG00000084908						
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_16	equivalent	http://www.semanticweb.org/brain_data_standards/AllenDend_CS202002013_16	CL:0011005	UBERON:0001384	ensembl:ENSMUSG00000010175	ensembl:ENSMUSG00000022425	ensembl:ENSMUSG00000037362	ensembl:ENSMUSG00000069911	ensembl:ENSMUSG00000022371	ensembl:ENSMUSG00000052551	ensembl:ENSMUSG00000038718	ensembl:ENSMUSG00000019772	ensembl:ENSMUSG00000084908								
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_17	equivalent	http://www.semanticweb.org/brain_data_standards/AllenDend_CS202002013_17	CL:0011005	UBERON:0001384	ensembl:ENSMUSG00000010175	ensembl:ENSMUSG00000022425	ensembl:ENSMUSG00000025813	ensembl:ENSMUSG00000037362	ensembl:ENSMUSG00000022371	ensembl:ENSMUSG00000052551	ensembl:ENSMUSG00000038718	ensembl:ENSMUSG00000019772	ensembl:ENSMUSG00000040624								
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_141	equivalent	http://www.semanticweb.org/brain_data_standards/AllenDend_CS202002013_141	CL:0011005	UBERON:0001384	ensembl:ENSMUSG00000010175	ensembl:ENSMUSG00000052551	ensembl:ENSMUSG00000019772														
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_142	equivalent	http://www.semanticweb.org/brain_data_standards/AllenDend_CS202002013_142	CL:0011005	UBERON:0001384	ensembl:ENSMUSG00000010175	ensembl:ENSMUSG00000052551	ensembl:ENSMUSG00000019772														
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_143	equivalent	http://www.semanticweb.org/brain_data_standards/AllenDend_CS202002013_143	CL:0011005	UBERON:0001384	ensembl:ENSMUSG00000000805	ensembl:ENSMUSG00000010175	ensembl:ENSMUSG00000049796	ensembl:ENSMUSG00000052551	ensembl:ENSMUSG00000019772												
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_18	equivalent	http://www.semanticweb.org/brain_data_standards/AllenDend_CS202002013_18	CL:0011005	UBERON:0001384	ensembl:ENSMUSG00000010175	ensembl:ENSMUSG00000045648	ensembl:ENSMUSG00000000805	ensembl:ENSMUSG00000037362	ensembl:ENSMUSG00000052551	ensembl:ENSMUSG00000049796	ensembl:ENSMUSG00000019772										
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_144	equivalent	http://www.semanticweb.org/brain_data_standards/AllenDend_CS202002013_144	CL:0011005	UBERON:0001384	ensembl:ENSMUSG00000021662	ensembl:ENSMUSG00000010175	ensembl:ENSMUSG00000000805	ensembl:ENSMUSG00000052551	ensembl:ENSMUSG00000049796	ensembl:ENSMUSG00000019772	ensembl:ENSMUSG00000028121										
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_19	equivalent	http://www.semanticweb.org/brain_data_standards/AllenDend_CS202002013_19	CL:0011005	UBERON:0001384	ensembl:ENSMUSG00000021662	ensembl:ENSMUSG00000010175	ensembl:ENSMUSG00000000805	ensembl:ENSMUSG00000041741	ensembl:ENSMUSG00000052551	ensembl:ENSMUSG00000038718	ensembl:ENSMUSG00000049796	ensembl:ENSMUSG00000019772	ensembl:ENSMUSG00000028121								
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_20	equivalent	http://www.semanticweb.org/brain_data_standards/AllenDend_CS202002013_20	CL:0011005	UBERON:0001384	ensembl:ENSMUSG00000021662	ensembl:ENSMUSG00000010175	ensembl:ENSMUSG00000000805	ensembl:ENSMUSG00000020042	ensembl:ENSMUSG00000049796	ensembl:ENSMUSG00000052551	ensembl:ENSMUSG00000031963	ensembl:ENSMUSG00000019772	ensembl:ENSMUSG00000028121								
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_145	equivalent	http://www.semanticweb.org/brain_data_standards/AllenDend_CS202002013_145	CL:0011005	UBERON:0001384	ensembl:ENSMUSG00000010175	ensembl:ENSMUSG00000052551	ensembl:ENSMUSG00000030170	ensembl:ENSMUSG00000019772													
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_21	equivalent	http://www.semanticweb.org/brain_data_standards/AllenDend_CS202002013_21	CL:0011005	UBERON:0001384	ensembl:ENSMUSG00000010175	ensembl:ENSMUSG00000032269	ensembl:ENSMUSG00000030170	ensembl:ENSMUSG00000052551	ensembl:ENSMUSG00000019772	ensembl:ENSMUSG00000112276											
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_146	equivalent	http://www.semanticweb.org/brain_data_standards/AllenDend_CS202002013_146	CL:0011005	UBERON:0001384	ensembl:ENSMUSG00000010175	ensembl:ENSMUSG00000030170	ensembl:ENSMUSG00000052551	ensembl:ENSMUSG00000019772	ensembl:ENSMUSG00000048776												
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_147	equivalent	http://www.semanticweb.org/brain_data_standards/AllenDend_CS202002013_147	CL:0011005	UBERON:0001384	ensembl:ENSMUSG00000010175	ensembl:ENSMUSG00000030170	ensembl:ENSMUSG00000023945	ensembl:ENSMUSG00000052551	ensembl:ENSMUSG00000019772	ensembl:ENSMUSG00000048776	ensembl:ENSMUSG00000021919										
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_22	equivalent	http://www.semanticweb.org/brain_data_standards/AllenDend_CS202002013_22	CL:0011005	UBERON:0001384	ensembl:ENSMUSG00000010175	ensembl:ENSMUSG00000003657	ensembl:ENSMUSG00000030170	ensembl:ENSMUSG00000023945	ensembl:ENSMUSG00000052551	ensembl:ENSMUSG00000019772	ensembl:ENSMUSG00000110281	ensembl:ENSMUSG00000048776	ensembl:ENSMUSG00000021919								
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_23	equivalent	http://www.semanticweb.org/brain_data_standards/AllenDend_CS202002013_23	CL:0011005	UBERON:0001384	ensembl:ENSMUSG00000010175	ensembl:ENSMUSG00000028004	ensembl:ENSMUSG00000030170	ensembl:ENSMUSG00000023945	ensembl:ENSMUSG00000052551	ensembl:ENSMUSG00000019772	ensembl:ENSMUSG00000048776	ensembl:ENSMUSG00000021919									
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_148	equivalent	http://www.semanticweb.org/brain_data_standards/AllenDend_CS202002013_148	CL:0011005	UBERON:0001384	ensembl:ENSMUSG00000010175	ensembl:ENSMUSG00000030170	ensembl:ENSMUSG00000024211	ensembl:ENSMUSG00000052551	ensembl:ENSMUSG00000057378	ensembl:ENSMUSG00000019772	ensembl:ENSMUSG00000048776										
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_24	equivalent	http://www.semanticweb.org/brain_data_standards/AllenDend_CS202002013_24	CL:0011005	UBERON:0001384	ensembl:ENSMUSG00000010175	ensembl:ENSMUSG00000060371	ensembl:ENSMUSG00000030170	ensembl:ENSMUSG00000024211	ensembl:ENSMUSG00000052551	ensembl:ENSMUSG00000057378	ensembl:ENSMUSG00000019772	ensembl:ENSMUSG00000048776									
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_25	equivalent	http://www.semanticweb.org/brain_data_standards/AllenDend_CS202002013_25	CL:0011005	UBERON:0001384	ensembl:ENSMUSG00000010175	ensembl:ENSMUSG00000026322	ensembl:ENSMUSG00000030170	ensembl:ENSMUSG00000024211	ensembl:ENSMUSG00000032017	ensembl:ENSMUSG00000052551	ensembl:ENSMUSG00000057378	ensembl:ENSMUSG00000019772	ensembl:ENSMUSG00000048776								
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_149	equivalent	http://www.semanticweb.org/brain_data_standards/AllenDend_CS202002013_149	CL:0011005	UBERON:0001384	ensembl:ENSMUSG00000010175	ensembl:ENSMUSG00000042581	ensembl:ENSMUSG00000110468	ensembl:ENSMUSG00000052551	ensembl:ENSMUSG00000019772												
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_26	equivalent	http://www.semanticweb.org/brain_data_standards/AllenDend_CS202002013_26	CL:0011005	UBERON:0001384	ensembl:ENSMUSG00000010175	ensembl:ENSMUSG00000042581	ensembl:ENSMUSG00000110468	ensembl:ENSMUSG00000052551	ensembl:ENSMUSG00000032625	ensembl:ENSMUSG00000019772											
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_27	equivalent	http://www.semanticweb.org/brain_data_standards/AllenDend_CS202002013_27	CL:0011005	UBERON:0001384	ensembl:ENSMUSG00000010175	ensembl:ENSMUSG00000042581	ensembl:ENSMUSG00000110468	ensembl:ENSMUSG00000049796	ensembl:ENSMUSG00000052551	ensembl:ENSMUSG00000019772											
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_150	equivalent	http://www.semanticweb.org/brain_data_standards/AllenDend_CS202002013_150	CL:0011005	UBERON:0001384	ensembl:ENSMUSG00000094083	ensembl:ENSMUSG00000046178															
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_28	equivalent	http://www.semanticweb.org/brain_data_standards/AllenDend_CS202002013_28	CL:0011005	UBERON:0001384	ensembl:ENSMUSG00000029361	ensembl:ENSMUSG00000022860	ensembl:ENSMUSG00000094083	ensembl:ENSMUSG00000046178													
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_151	equivalent	http://www.semanticweb.org/brain_data_standards/AllenDend_CS202002013_151	CL:0011005	UBERON:0001384	ensembl:ENSMUSG00000033063	ensembl:ENSMUSG00000094083	ensembl:ENSMUSG00000046178														
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_152	equivalent	http://www.semanticweb.org/brain_data_standards/AllenDend_CS202002013_152	CL:0011005	UBERON:0001384	ensembl:ENSMUSG00000004366	ensembl:ENSMUSG00000094083	ensembl:ENSMUSG00000046178	ensembl:ENSMUSG00000033063	ensembl:ENSMUSG00000048988												
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_153	equivalent	http://www.semanticweb.org/brain_data_standards/AllenDend_CS202002013_153	CL:0011005	UBERON:0001384	ensembl:ENSMUSG00000004366	ensembl:ENSMUSG00000094083	ensembl:ENSMUSG00000046178	ensembl:ENSMUSG00000033063	ensembl:ENSMUSG00000048988												
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_154	equivalent	http://www.semanticweb.org/brain_data_standards/AllenDend_CS202002013_154	CL:0011005	UBERON:0001384	ensembl:ENSMUSG00000004366	ensembl:ENSMUSG00000059203	ensembl:ENSMUSG00000094083	ensembl:ENSMUSG00000046178	ensembl:ENSMUSG00000062151	ensembl:ENSMUSG00000033063	ensembl:ENSMUSG00000048988										
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_155	equivalent	http://www.semanticweb.org/brain_data_standards/AllenDend_CS202002013_155	CL:0011005	UBERON:0001384	ensembl:ENSMUSG00000004366	ensembl:ENSMUSG00000094083	ensembl:ENSMUSG00000059203	ensembl:ENSMUSG00000033063	ensembl:ENSMUSG00000046178	ensembl:ENSMUSG00000062151	ensembl:ENSMUSG00000070366	ensembl:ENSMUSG00000048988									
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_29	equivalent	http://www.semanticweb.org/brain_data_standards/AllenDend_CS202002013_29	CL:0011005	UBERON:0001384	ensembl:ENSMUSG00000004366	ensembl:ENSMUSG00000021647	ensembl:ENSMUSG00000094083	ensembl:ENSMUSG00000059203	ensembl:ENSMUSG00000033063	ensembl:ENSMUSG00000046178	ensembl:ENSMUSG00000062151	ensembl:ENSMUSG00000070366	ensembl:ENSMUSG00000097462	ensembl:ENSMUSG00000048988							
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_30	equivalent	http://www.semanticweb.org/brain_data_standards/AllenDend_CS202002013_30	CL:0011005	UBERON:0001384	ensembl:ENSMUSG00000004366	ensembl:ENSMUSG00000059203	ensembl:ENSMUSG00000094083	ensembl:ENSMUSG00000042453	ensembl:ENSMUSG00000033063	ensembl:ENSMUSG00000046178	ensembl:ENSMUSG00000062151	ensembl:ENSMUSG00000070366	ensembl:ENSMUSG00000048988								
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_156	equivalent	http://www.semanticweb.org/brain_data_standards/AllenDend_CS202002013_156	CL:0011005	UBERON:0001384	ensembl:ENSMUSG00000004366	ensembl:ENSMUSG00000059203	ensembl:ENSMUSG00000094083	ensembl:ENSMUSG00000033063	ensembl:ENSMUSG00000046178	ensembl:ENSMUSG00000062151	ensembl:ENSMUSG00000027400	ensembl:ENSMUSG00000048988									
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_157	equivalent	http://www.semanticweb.org/brain_data_standards/AllenDend_CS202002013_157	CL:0011005	UBERON:0001384	ensembl:ENSMUSG00000039579	ensembl:ENSMUSG00000004366	ensembl:ENSMUSG00000094083	ensembl:ENSMUSG00000059203	ensembl:ENSMUSG00000033063	ensembl:ENSMUSG00000046178	ensembl:ENSMUSG00000062151	ensembl:ENSMUSG00000027400	ensembl:ENSMUSG00000048988	ensembl:ENSMUSG00000055214							
