ID	Label	PrefLabel	Entity Type	TYPE	Property Assertions	Synonyms	Function	cell_set_preferred_alias	original_label	cell_set_label	cell_set_aligned_alias	cell_set_additional_aliases	cell_set_alias_assignee	cell_set_alias_citation	Metadata
AllenDend:CS201908210_3	MTG 003 - CS201908210_3	Inh L1 LAMP5 NMBR - CS201908210_3	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201908210_82	Inh L1 LAMP5 NMBR		Inh L1 LAMP5 NMBR	Inh L1 LAMP5 NMBR	MTG 003			Trygve Bakken	10.1038/s41586-019-1506-7	"{""members"": 1, ""height"": 0, ""label"": ""Inh L1 LAMP5 NMBR"", ""leaf"": true, ""nodePar.pch"": 19, ""nodePar.cex"": 2, ""nodePar.lab.cex"": 0.25, ""nodePar.lab.col"": ""#E67B73"", ""nodePar.col"": ""#E67B73"", ""cell_set_accession"": ""CS201908210_3"", ""original_label"": ""Inh L1 LAMP5 NMBR"", ""cell_set_label"": ""MTG 003"", ""cell_set_preferred_alias"": ""Inh L1 LAMP5 NMBR"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_structure"": ""middle temporal gyrus"", ""cell_set_ontology_tag"": ""UBERON:0002771"", ""cell_set_alias_assignee"": ""Trygve Bakken"", ""cell_set_alias_citation"": ""10.1038/s41586-019-1506-7"", ""taxonomy_id"": ""CCN201908210"", ""_row"": ""Inh L1 LAMP5 NMBR"", ""is_leaf"": true}"
AllenDend:CS201908210_83	MTG 004-006 - CS201908210_83	 - CS201908210_83	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201908210_82	n8			n8	MTG 004-006			Trygve Bakken	10.1038/s41586-019-1506-7	"{""members"": 3, ""midpoint"": 1.25, ""height"": 0.1372, ""label"": """", ""cell_set_accession"": ""CS201908210_83"", ""original_label"": ""n8"", ""cell_set_label"": ""MTG 004-006"", ""cell_set_preferred_alias"": """", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_structure"": ""middle temporal gyrus"", ""cell_set_ontology_tag"": ""UBERON:0002771"", ""cell_set_alias_assignee"": ""Trygve Bakken"", ""cell_set_alias_citation"": ""10.1038/s41586-019-1506-7"", ""taxonomy_id"": ""CCN201908210"", ""_row"": ""n8""}"
AllenDend:CS201908210_84	MTG 004-005 - CS201908210_84	 - CS201908210_84	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201908210_83	n9|Rosehip			n9	MTG 004-005		Rosehip	Trygve Bakken||Trygve Bakken	10.1038/s41586-019-1506-7||10.1038/s41593-018-0205-2	"{""members"": 2, ""midpoint"": 0.5, ""height"": 0.0981, ""label"": """", ""cell_set_accession"": ""CS201908210_84"", ""original_label"": ""n9"", ""cell_set_label"": ""MTG 004-005"", ""cell_set_preferred_alias"": """", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": ""Rosehip"", ""cell_set_structure"": ""middle temporal gyrus"", ""cell_set_ontology_tag"": ""UBERON:0002771"", ""cell_set_alias_assignee"": ""Trygve Bakken||Trygve Bakken"", ""cell_set_alias_citation"": ""10.1038/s41586-019-1506-7||10.1038/s41593-018-0205-2"", ""taxonomy_id"": ""CCN201908210"", ""_row"": ""n9""}"
AllenDend:CS201908210_4	MTG 004 - CS201908210_4	Inh L1-4 LAMP5 LCP2 - CS201908210_4	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201908210_84	Inh L1-4 LAMP5 LCP2		Inh L1-4 LAMP5 LCP2	Inh L1-4 LAMP5 LCP2	MTG 004			Trygve Bakken	10.1038/s41586-019-1506-7	"{""label"": ""Inh L1-4 LAMP5 LCP2"", ""members"": 1, ""height"": 0, ""leaf"": true, ""nodePar.pch"": 19, ""nodePar.cex"": 2, ""nodePar.lab.cex"": 0.25, ""nodePar.lab.col"": ""#FFA388"", ""nodePar.col"": ""#FFA388"", ""cell_set_accession"": ""CS201908210_4"", ""original_label"": ""Inh L1-4 LAMP5 LCP2"", ""cell_set_label"": ""MTG 004"", ""cell_set_preferred_alias"": ""Inh L1-4 LAMP5 LCP2"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_structure"": ""middle temporal gyrus"", ""cell_set_ontology_tag"": ""UBERON:0002771"", ""cell_set_alias_assignee"": ""Trygve Bakken"", ""cell_set_alias_citation"": ""10.1038/s41586-019-1506-7"", ""taxonomy_id"": ""CCN201908210"", ""_row"": ""Inh L1-4 LAMP5 LCP2"", ""is_leaf"": true}"
AllenDend:CS201908210_5	MTG 005 - CS201908210_5	Inh L1-2 LAMP5 DBP - CS201908210_5	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201908210_84	Inh L1-2 LAMP5 DBP		Inh L1-2 LAMP5 DBP	Inh L1-2 LAMP5 DBP	MTG 005			Trygve Bakken	10.1038/s41586-019-1506-7	"{""label"": ""Inh L1-2 LAMP5 DBP"", ""members"": 1, ""height"": 0, ""leaf"": true, ""nodePar.pch"": 19, ""nodePar.cex"": 2, ""nodePar.lab.cex"": 0.25, ""nodePar.lab.col"": ""#FF7466"", ""nodePar.col"": ""#FF7466"", ""cell_set_accession"": ""CS201908210_5"", ""original_label"": ""Inh L1-2 LAMP5 DBP"", ""cell_set_label"": ""MTG 005"", ""cell_set_preferred_alias"": ""Inh L1-2 LAMP5 DBP"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_structure"": ""middle temporal gyrus"", ""cell_set_ontology_tag"": ""UBERON:0002771"", ""cell_set_alias_assignee"": ""Trygve Bakken"", ""cell_set_alias_citation"": ""10.1038/s41586-019-1506-7"", ""taxonomy_id"": ""CCN201908210"", ""_row"": ""Inh L1-2 LAMP5 DBP"", ""is_leaf"": true}"
AllenDend:CS201908210_6	MTG 006 - CS201908210_6	Inh L2-6 LAMP5 CA1 - CS201908210_6	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201908210_83	Inh L2-6 LAMP5 CA1|Lamp Lhx6		Inh L2-6 LAMP5 CA1	Inh L2-6 LAMP5 CA1	MTG 006		Lamp Lhx6	Trygve Bakken	10.1038/s41586-019-1506-7	"{""members"": 1, ""height"": 0, ""label"": ""Inh L2-6 LAMP5 CA1"", ""leaf"": true, ""nodePar.pch"": 19, ""nodePar.cex"": 2, ""nodePar.lab.cex"": 0.25, ""nodePar.lab.col"": ""#C77963"", ""nodePar.col"": ""#C77963"", ""cell_set_accession"": ""CS201908210_6"", ""original_label"": ""Inh L2-6 LAMP5 CA1"", ""cell_set_label"": ""MTG 006"", ""cell_set_preferred_alias"": ""Inh L2-6 LAMP5 CA1"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": ""Lamp Lhx6"", ""cell_set_structure"": ""middle temporal gyrus"", ""cell_set_ontology_tag"": ""UBERON:0002771"", ""cell_set_alias_assignee"": ""Trygve Bakken"", ""cell_set_alias_citation"": ""10.1038/s41586-019-1506-7"", ""taxonomy_id"": ""CCN201908210"", ""_row"": ""Inh L2-6 LAMP5 CA1"", ""is_leaf"": true}"
AllenDend:CS201908210_85	MTG 007-027 - CS201908210_85	VIP - CS201908210_85	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201908210_79	n10		VIP	n10	MTG 007-027			Trygve Bakken	10.1038/s41586-019-1506-7	"{""members"": 21, ""midpoint"": 9.0469, ""height"": 0.2745, ""label"": ""VIP"", ""cell_set_accession"": ""CS201908210_85"", ""original_label"": ""n10"", ""cell_set_label"": ""MTG 007-027"", ""cell_set_preferred_alias"": ""VIP"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_structure"": ""middle temporal gyrus"", ""cell_set_ontology_tag"": ""UBERON:0002771"", ""cell_set_alias_assignee"": ""Trygve Bakken"", ""cell_set_alias_citation"": ""10.1038/s41586-019-1506-7"", ""taxonomy_id"": ""CCN201908210"", ""_row"": ""n10""}"
AllenDend:CS201908210_86	MTG 007-014 - CS201908210_86	 - CS201908210_86	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201908210_85	n11			n11	MTG 007-014			Trygve Bakken	10.1038/s41586-019-1506-7	"{""members"": 8, ""midpoint"": 4.5, ""height"": 0.2731, ""label"": """", ""cell_set_accession"": ""CS201908210_86"", ""original_label"": ""n11"", ""cell_set_label"": ""MTG 007-014"", ""cell_set_preferred_alias"": """", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_structure"": ""middle temporal gyrus"", ""cell_set_ontology_tag"": ""UBERON:0002771"", ""cell_set_alias_assignee"": ""Trygve Bakken"", ""cell_set_alias_citation"": ""10.1038/s41586-019-1506-7"", ""taxonomy_id"": ""CCN201908210"", ""_row"": ""n11""}"
AllenDend:CS201908210_87	MTG 007-012 - CS201908210_87	 - CS201908210_87	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201908210_86	n12			n12	MTG 007-012			Trygve Bakken	10.1038/s41586-019-1506-7	"{""members"": 6, ""midpoint"": 2.5, ""height"": 0.2306, ""label"": """", ""cell_set_accession"": ""CS201908210_87"", ""original_label"": ""n12"", ""cell_set_label"": ""MTG 007-012"", ""cell_set_preferred_alias"": """", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_structure"": ""middle temporal gyrus"", ""cell_set_ontology_tag"": ""UBERON:0002771"", ""cell_set_alias_assignee"": ""Trygve Bakken"", ""cell_set_alias_citation"": ""10.1038/s41586-019-1506-7"", ""taxonomy_id"": ""CCN201908210"", ""_row"": ""n12""}"
AllenDend:CS201908210_88	MTG 007-009 - CS201908210_88	 - CS201908210_88	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201908210_87	n13			n13	MTG 007-009			Trygve Bakken	10.1038/s41586-019-1506-7	"{""members"": 3, ""midpoint"": 1.25, ""height"": 0.1322, ""label"": """", ""cell_set_accession"": ""CS201908210_88"", ""original_label"": ""n13"", ""cell_set_label"": ""MTG 007-009"", ""cell_set_preferred_alias"": """", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_structure"": ""middle temporal gyrus"", ""cell_set_ontology_tag"": ""UBERON:0002771"", ""cell_set_alias_assignee"": ""Trygve Bakken"", ""cell_set_alias_citation"": ""10.1038/s41586-019-1506-7"", ""taxonomy_id"": ""CCN201908210"", ""_row"": ""n13""}"
AllenDend:CS201908210_89	MTG 007-008 - CS201908210_89	 - CS201908210_89	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201908210_88	n14			n14	MTG 007-008			Trygve Bakken	10.1038/s41586-019-1506-7	"{""members"": 2, ""midpoint"": 0.5, ""height"": 0.0857, ""label"": """", ""cell_set_accession"": ""CS201908210_89"", ""original_label"": ""n14"", ""cell_set_label"": ""MTG 007-008"", ""cell_set_preferred_alias"": """", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_structure"": ""middle temporal gyrus"", ""cell_set_ontology_tag"": ""UBERON:0002771"", ""cell_set_alias_assignee"": ""Trygve Bakken"", ""cell_set_alias_citation"": ""10.1038/s41586-019-1506-7"", ""taxonomy_id"": ""CCN201908210"", ""_row"": ""n14""}"
AllenDend:CS201908210_7	MTG 007 - CS201908210_7	Inh L1 SST CHRNA4 - CS201908210_7	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201908210_89	Inh L1 SST CHRNA4		Inh L1 SST CHRNA4	Inh L1 SST CHRNA4	MTG 007			Trygve Bakken	10.1038/s41586-019-1506-7	"{""label"": ""Inh L1 SST CHRNA4"", ""members"": 1, ""height"": 0, ""leaf"": true, ""nodePar.pch"": 19, ""nodePar.cex"": 2, ""nodePar.lab.cex"": 0.25, ""nodePar.lab.col"": ""#DD6091"", ""nodePar.col"": ""#DD6091"", ""cell_set_accession"": ""CS201908210_7"", ""original_label"": ""Inh L1 SST CHRNA4"", ""cell_set_label"": ""MTG 007"", ""cell_set_preferred_alias"": ""Inh L1 SST CHRNA4"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_structure"": ""middle temporal gyrus"", ""cell_set_ontology_tag"": ""UBERON:0002771"", ""cell_set_alias_assignee"": ""Trygve Bakken"", ""cell_set_alias_citation"": ""10.1038/s41586-019-1506-7"", ""taxonomy_id"": ""CCN201908210"", ""_row"": ""Inh L1 SST CHRNA4"", ""is_leaf"": true}"
AllenDend:CS201908210_8	MTG 008 - CS201908210_8	Inh L1-2 ADARB2 MC4R - CS201908210_8	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201908210_89	Inh L1-2 ADARB2 MC4R		Inh L1-2 ADARB2 MC4R	Inh L1-2 ADARB2 MC4R	MTG 008			Trygve Bakken	10.1038/s41586-019-1506-7	"{""label"": ""Inh L1-2 ADARB2 MC4R"", ""members"": 1, ""height"": 0, ""leaf"": true, ""nodePar.pch"": 19, ""nodePar.cex"": 2, ""nodePar.lab.cex"": 0.25, ""nodePar.lab.col"": ""#FF7290"", ""nodePar.col"": ""#FF7290"", ""cell_set_accession"": ""CS201908210_8"", ""original_label"": ""Inh L1-2 ADARB2 MC4R"", ""cell_set_label"": ""MTG 008"", ""cell_set_preferred_alias"": ""Inh L1-2 ADARB2 MC4R"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_structure"": ""middle temporal gyrus"", ""cell_set_ontology_tag"": ""UBERON:0002771"", ""cell_set_alias_assignee"": ""Trygve Bakken"", ""cell_set_alias_citation"": ""10.1038/s41586-019-1506-7"", ""taxonomy_id"": ""CCN201908210"", ""_row"": ""Inh L1-2 ADARB2 MC4R"", ""is_leaf"": true}"
AllenDend:CS201908210_9	MTG 009 - CS201908210_9	Inh L1-2 SST BAGE2 - CS201908210_9	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201908210_88	Inh L1-2 SST BAGE2		Inh L1-2 SST BAGE2	Inh L1-2 SST BAGE2	MTG 009			Trygve Bakken	10.1038/s41586-019-1506-7	"{""members"": 1, ""height"": 0, ""label"": ""Inh L1-2 SST BAGE2"", ""leaf"": true, ""nodePar.pch"": 19, ""nodePar.cex"": 2, ""nodePar.lab.cex"": 0.25, ""nodePar.lab.col"": ""#9440F3"", ""nodePar.col"": ""#9440F3"", ""cell_set_accession"": ""CS201908210_9"", ""original_label"": ""Inh L1-2 SST BAGE2"", ""cell_set_label"": ""MTG 009"", ""cell_set_preferred_alias"": ""Inh L1-2 SST BAGE2"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_structure"": ""middle temporal gyrus"", ""cell_set_ontology_tag"": ""UBERON:0002771"", ""cell_set_alias_assignee"": ""Trygve Bakken"", ""cell_set_alias_citation"": ""10.1038/s41586-019-1506-7"", ""taxonomy_id"": ""CCN201908210"", ""_row"": ""Inh L1-2 SST BAGE2"", ""is_leaf"": true}"
AllenDend:CS201908210_90	MTG 010-012 - CS201908210_90	 - CS201908210_90	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201908210_87	n15			n15	MTG 010-012			Trygve Bakken	10.1038/s41586-019-1506-7	"{""members"": 3, ""midpoint"": 0.75, ""height"": 0.1859, ""label"": """", ""cell_set_accession"": ""CS201908210_90"", ""original_label"": ""n15"", ""cell_set_label"": ""MTG 010-012"", ""cell_set_preferred_alias"": """", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_structure"": ""middle temporal gyrus"", ""cell_set_ontology_tag"": ""UBERON:0002771"", ""cell_set_alias_assignee"": ""Trygve Bakken"", ""cell_set_alias_citation"": ""10.1038/s41586-019-1506-7"", ""taxonomy_id"": ""CCN201908210"", ""_row"": ""n15""}"
AllenDend:CS201908210_10	MTG 010 - CS201908210_10	Inh L1-3 VIP SYT6 - CS201908210_10	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201908210_90	Inh L1-3 VIP SYT6		Inh L1-3 VIP SYT6	Inh L1-3 VIP SYT6	MTG 010			Trygve Bakken	10.1038/s41586-019-1506-7	"{""members"": 1, ""height"": 0, ""label"": ""Inh L1-3 VIP SYT6"", ""leaf"": true, ""nodePar.pch"": 19, ""nodePar.cex"": 2, ""nodePar.lab.cex"": 0.25, ""nodePar.lab.col"": ""#9900B3"", ""nodePar.col"": ""#9900B3"", ""cell_set_accession"": ""CS201908210_10"", ""original_label"": ""Inh L1-3 VIP SYT6"", ""cell_set_label"": ""MTG 010"", ""cell_set_preferred_alias"": ""Inh L1-3 VIP SYT6"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_structure"": ""middle temporal gyrus"", ""cell_set_ontology_tag"": ""UBERON:0002771"", ""cell_set_alias_assignee"": ""Trygve Bakken"", ""cell_set_alias_citation"": ""10.1038/s41586-019-1506-7"", ""taxonomy_id"": ""CCN201908210"", ""_row"": ""Inh L1-3 VIP SYT6"", ""is_leaf"": true}"
AllenDend:CS201908210_91	MTG 011-012 - CS201908210_91	 - CS201908210_91	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201908210_90	n16			n16	MTG 011-012			Trygve Bakken	10.1038/s41586-019-1506-7	"{""members"": 2, ""midpoint"": 0.5, ""height"": 0.1516, ""label"": """", ""cell_set_accession"": ""CS201908210_91"", ""original_label"": ""n16"", ""cell_set_label"": ""MTG 011-012"", ""cell_set_preferred_alias"": """", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_structure"": ""middle temporal gyrus"", ""cell_set_ontology_tag"": ""UBERON:0002771"", ""cell_set_alias_assignee"": ""Trygve Bakken"", ""cell_set_alias_citation"": ""10.1038/s41586-019-1506-7"", ""taxonomy_id"": ""CCN201908210"", ""_row"": ""n16""}"
