Taxonomy_node_ID	clusterName	Markers Delimited
CS202002013_10	Sncg Slc17a8	ensembl:ENSMUSG00000019935|ensembl:ENSMUSG00000048967
CS202002013_42	Sst C1ql3_1	ensembl:ENSMUSG00000111950|ensembl:ENSMUSG00000052062
CS202002013_43	Sst C1ql3_2	ensembl:ENSMUSG00000035131|ensembl:ENSMUSG00000030074|ensembl:ENSMUSG00000049001
CS202002013_39	Sst Calb2	ensembl:ENSMUSG00000027965|ensembl:ENSMUSG00000004366
CS202002013_28	Sst Chodl	ensembl:ENSMUSG00000029361|ENSMUSG00000022860
CS202002013_36	Sst Crhr2_1	ensembl:ENSMUSG00000010461|ensembl:ENSMUSG00000026393|ensembl:ENSMUSG00000031997
CS202002013_37	Sst Crhr2_2	ensembl:ENSMUSG00000026765|ensembl:ENSMUSG00000031997
CS202002013_34	Sst Etv1_1	ensembl:ENSMUSG00000026141|ensembl:ENSMUSG00000024598|ensembl:ENSMUSG00000031997
CS202002013_38	Sst Hpse	ensembl:ENSMUSG00000035273|ensembl:ENSMUSG00000030222
CS202002013_33	Sst Htr1a	ensembl:ENSMUSG00000105068|ensembl:ENSMUSG00000027400
CS202002013_30	Sst Myh8_1	ensembl:ENSMUSG00000059203|ensembl:ENSMUSG00000042453
CS202002013_31	Sst Myh8_2	ensembl:ENSMUSG00000031841|ensembl:ENSMUSG00000055214|ensembl:ENSMUSG00000051910
CS202002013_32	Sst Myh8_3	ensembl:ENSMUSG00000025370|ensembl:ENSMUSG00000019828
CS202002013_29	Sst Penk	ensembl:ENSMUSG00000097462|ensembl:ENSMUSG00000021647|ensembl:ENSMUSG00000059203
CS202002013_41	Sst Pvalb Calb2	ensembl:ENSMUSG00000020000|ensembl:ENSMUSG00000029334
CS202002013_35	Sst Pvalb Etv1	ensembl:ENSMUSG00000095105|ensembl:ENSMUSG00000038156|ensembl:ENSMUSG00000039137
CS202002013_44	Sst Tac2	ensembl:ENSMUSG00000031841|ensembl:ENSMUSG00000025400|ensembl:ENSMUSG00000036019
CS202002013_45	Sst Th_1	ensembl:ENSMUSG00000039037|ensembl:ENSMUSG00000040710|ensembl:ENSMUSG00000022306
CS202002013_46	Sst Th_2	ensembl:ENSMUSG00000052062|ensembl:ENSMUSG00000045731|ensembl:ENSMUSG00000004366
CS202002013_47	Sst Th_3	ensembl:ENSMUSG00000028971|ensembl:ENSMUSG00000000214
CS202002013_40	Sst Pappa	ensembl:ENSMUSG00000116610|ensembl:ENSMUSG00000031997
CS202002013_104	VLMC_1	ensembl:ENSMUSG00000031273|ensembl:ENSMUSG00000112430|ensembl:ENSMUSG00000025780
CS202002013_105	VLMC_2	ensembl:ENSMUSG00000064294|ensembl:ENSMUSG00000032796
CS202002013_106	VLMC_3	ensembl:ENSMUSG00000043760
CS202002013_107	VLMC_4	ensembl:ENSMUSG00000069378|ensembl:ENSMUSG00000036814
CS202002013_108	VLMC_5	ensembl:ENSMUSG00000010122
CS202002013_109	VLMC_6	ensembl:ENSMUSG00000026989|ensembl:ENSMUSG00000006014|ensembl:ENSMUSG00000040569
CS202002013_110	VLMC_7	ensembl:ENSMUSG00000026989|ensembl:ENSMUSG00000034127
CS202002013_20	Vip C1ql1	ensembl:ENSMUSG00000031963|ensembl:ENSMUSG00000020042|ensembl:ENSMUSG00000049796|ensembl:ENSMUSG00000019772
CS202002013_23	Vip Chat_1	ensembl:ENSMUSG00000021919|ensembl:ENSMUSG00000028004
CS202002013_25	Vip Chat_2	ensembl:ENSMUSG00000032017|ensembl:ENSMUSG00000026322
CS202002013_19	Vip Gpc3	ensembl:ENSMUSG00000038718|ensembl:ENSMUSG00000041741|ensembl:ENSMUSG00000019772
CS202002013_18	Vip Htr1f	ensembl:ENSMUSG00000037362|ensembl:ENSMUSG00000019772|ensembl:ENSMUSG00000045648
CS202002013_26	Vip Igfbp6_1	ensembl:ENSMUSG00000110468|ensembl:ENSMUSG00000032625
CS202002013_27	Vip Igfbp6_2	ensembl:ENSMUSG00000049796|ensembl:ENSMUSG00000042581
CS202002013_22	Vip Mybpc1_1	ensembl:ENSMUSG00000003657|ensembl:ENSMUSG00000110281
CS202002013_21	Vip Mybpc1_2	ensembl:ENSMUSG00000112276|ensembl:ENSMUSG00000032269
CS202002013_24	Vip Mybpc1_3	ensembl:ENSMUSG00000060371|ensembl:ENSMUSG00000024211
CS202002013_15	Vip Serpinf1_1	ensembl:ENSMUSG00000026475|ensembl:ENSMUSG00000027996
CS202002013_16	Vip Serpinf1_2	ensembl:ENSMUSG00000022371|ensembl:ENSMUSG00000037362|ensembl:ENSMUSG00000038718
CS202002013_17	Vip Serpinf1_3	ensembl:ENSMUSG00000022425|ensembl:ENSMUSG00000025813|ensembl:ENSMUSG00000037362|ensembl:ENSMUSG00000040624
CS202002013_14	Vip Sncg	ensembl:ENSMUSG00000049796|ensembl:ENSMUSG00000022656|ensembl:ENSMUSG00000020099
CS202002013_121		ENSMUSG00000047495|ENSMUSG00000025576
CS202002013_122		ENSMUSG00000025576|ENSMUSG00000047495
CS202002013_123		ENSMUSG00000037610|ENSMUSG00000053519
CS202002013_150		ENSMUSG00000094083|ENSMUSG00000046178
CS202002013_179		ENSMUSG00000053025|ENSMUSG00000070570|ENSMUSG00000046178
CS202002013_124		ENSMUSG00000010175|ENSMUSG00000052551
CS202002013_151		ENSMUSG00000033063|ENSMUSG00000094083
CS202002013_180		ENSMUSG00000100851|ENSMUSG00000059173
CS202002013_132		ENSMUSG00000019772
CS202002013_152		ENSMUSG00000048988|ENSMUSG00000004366
CS202002013_168		ENSMUSG00000005716|ENSMUSG00000087301
CS202002013_181		ENSMUSG00000038331|ENSMUSG00000036264|ENSMUSG00000063626
CS202002013_196		ENSMUSG00000027849|ENSMUSG00000078591
CS202002013_138		ENSMUSG00000019772
CS202002013_153		ENSMUSG00000048988|ENSMUSG00000004366
CS202002013_169		ENSMUSG00000091002|ENSMUSG00000031558
CS202002013_171		ENSMUSG00000010461|ENSMUSG00000052353
CS202002013_182		ENSMUSG00000036264|ENSMUSG00000038331
CS202002013_203		ENSMUSG00000019997|ENSMUSG00000039714
CS202002013_220		ENSMUSG00000036256
CS202002013_141		ENSMUSG00000019772
CS202002013_158		ENSMUSG00000021680|ENSMUSG00000048988
CS202002013_172		ENSMUSG00000010461|ENSMUSG00000052353
CS202002013_185		ENSMUSG00000059203|ENSMUSG00000038331
CS202002013_197		ENSMUSG00000027849|ENSMUSG00000078591
CS202002013_219		ENSMUSG00000029648|ENSMUSG00000039167
