ID	Label	PrefLabel	Synonyms	Exemplar	Classification	Comment	part of	part evidence comment	part evidence pub	part evidence dbxref	location	location evidence comment	location evidence pub	location evidence dbxref	has soma location	soma location evidence comment	soma location evidence pub	soma location evidence dbxref	cell morphology phenotype	cell morphology evidence comment	cell morphology evidence pub	cell morphology evidence dbxref	Class_type
http://brain_data_standards/scratch_3a680d2a-21e5-11eb-bce3-acde48001122	MTG 024	Inh L1-2 VIP LBH		AllenDend:CS201908210_24																			subclass
http://brain_data_standards/scratch_3a680d98-21e5-11eb-bce3-acde48001122	MTG 025	Inh L2-3 VIP CASC6		AllenDend:CS201908210_25																			subclass
http://brain_data_standards/scratch_3a680df2-21e5-11eb-bce3-acde48001122	MTG 026-027			AllenDend:CS201908210_104																			subclass
http://brain_data_standards/scratch_3a680e56-21e5-11eb-bce3-acde48001122	MTG 026	Inh L2-4 VIP SPAG17		AllenDend:CS201908210_26																			subclass
http://brain_data_standards/scratch_3a680ea6-21e5-11eb-bce3-acde48001122	MTG 027	Inh L1-4 VIP OPRM1		AllenDend:CS201908210_27																			subclass
http://brain_data_standards/scratch_3a680f00-21e5-11eb-bce3-acde48001122	MTG 028-045	LHX6 (MGE)		AllenDend:CS201908210_105																			subclass
http://brain_data_standards/scratch_3a680f6e-21e5-11eb-bce3-acde48001122	MTG 028-044			AllenDend:CS201908210_106																			subclass
http://brain_data_standards/scratch_3a680fbe-21e5-11eb-bce3-acde48001122	MTG 028	Inh L3-6 SST NPY		AllenDend:CS201908210_28																			subclass
http://brain_data_standards/scratch_3a681018-21e5-11eb-bce3-acde48001122	MTG 029-044			AllenDend:CS201908210_107																			subclass
http://brain_data_standards/scratch_3a681086-21e5-11eb-bce3-acde48001122	MTG 029-038	SST		AllenDend:CS201908210_108																			subclass
http://brain_data_standards/scratch_3a6810d6-21e5-11eb-bce3-acde48001122	MTG 029-037			AllenDend:CS201908210_109																			subclass
http://brain_data_standards/scratch_3a68113a-21e5-11eb-bce3-acde48001122	MTG 029-034			AllenDend:CS201908210_110																			subclass
http://brain_data_standards/scratch_3a681194-21e5-11eb-bce3-acde48001122	MTG 029	Inh L3-6 SST HPGD		AllenDend:CS201908210_29																			subclass
http://brain_data_standards/scratch_3a6811e4-21e5-11eb-bce3-acde48001122	MTG 030-034			AllenDend:CS201908210_111																			subclass
http://brain_data_standards/scratch_3a681248-21e5-11eb-bce3-acde48001122	MTG 030-033			AllenDend:CS201908210_112																			subclass
http://brain_data_standards/scratch_3a681298-21e5-11eb-bce3-acde48001122	MTG 030-031			AllenDend:CS201908210_113																			subclass
http://brain_data_standards/scratch_3a6812f2-21e5-11eb-bce3-acde48001122	MTG 030	Inh L4-6 SST B3GAT2		AllenDend:CS201908210_30																			subclass
http://brain_data_standards/scratch_3a681356-21e5-11eb-bce3-acde48001122	MTG 031	Inh L5-6 SST KLHDC8A		AllenDend:CS201908210_31																			subclass
http://brain_data_standards/scratch_3a6813b0-21e5-11eb-bce3-acde48001122	MTG 032-033			AllenDend:CS201908210_114																			subclass
http://brain_data_standards/scratch_3a681414-21e5-11eb-bce3-acde48001122	MTG 032	Inh L5-6 SST NPM1P10		AllenDend:CS201908210_32																			subclass
http://brain_data_standards/scratch_3a68146e-21e5-11eb-bce3-acde48001122	MTG 033	Inh L4-6 SST GXYLT2		AllenDend:CS201908210_33																			subclass
http://brain_data_standards/scratch_3a6814be-21e5-11eb-bce3-acde48001122	MTG 034	Inh L4-5 SST STK32A		AllenDend:CS201908210_34																			subclass
http://brain_data_standards/scratch_3a681522-21e5-11eb-bce3-acde48001122	MTG 035-037			AllenDend:CS201908210_115																			subclass
http://brain_data_standards/scratch_3a68157c-21e5-11eb-bce3-acde48001122	MTG 035-036			AllenDend:CS201908210_116																			subclass
http://brain_data_standards/scratch_3a6815cc-21e5-11eb-bce3-acde48001122	MTG 035	Inh L1-3 SST CALB1		AllenDend:CS201908210_35																			subclass
http://brain_data_standards/scratch_3a681630-21e5-11eb-bce3-acde48001122	MTG 036	Inh L3-5 SST ADGRG6		AllenDend:CS201908210_36																			subclass
http://brain_data_standards/scratch_3a681680-21e5-11eb-bce3-acde48001122	MTG 037	Inh L2-4 SST FRZB		AllenDend:CS201908210_37																			subclass
http://brain_data_standards/scratch_3a6816ee-21e5-11eb-bce3-acde48001122	MTG 038	Inh L5-6 SST TH		AllenDend:CS201908210_38																			subclass
http://brain_data_standards/scratch_3a68173e-21e5-11eb-bce3-acde48001122	MTG 039-044	PVALB		AllenDend:CS201908210_117																			subclass
http://brain_data_standards/scratch_3a6817a2-21e5-11eb-bce3-acde48001122	MTG 039	Inh L5-6 LHX6 GLP1R		AllenDend:CS201908210_39																			subclass
http://brain_data_standards/scratch_3a6817fc-21e5-11eb-bce3-acde48001122	MTG 040-044			AllenDend:CS201908210_118																			subclass
http://brain_data_standards/scratch_3a68184c-21e5-11eb-bce3-acde48001122	MTG 040	Inh L5-6 PVALB LGR5		AllenDend:CS201908210_40																			subclass
http://brain_data_standards/scratch_3a68189c-21e5-11eb-bce3-acde48001122	MTG 041-044			AllenDend:CS201908210_119																			subclass
http://brain_data_standards/scratch_3a681914-21e5-11eb-bce3-acde48001122	MTG 041-043			AllenDend:CS201908210_120																			subclass
http://brain_data_standards/scratch_3a681996-21e5-11eb-bce3-acde48001122	MTG 041	Inh L4-5 PVALB MEPE		AllenDend:CS201908210_41																			subclass
http://brain_data_standards/scratch_3a681a04-21e5-11eb-bce3-acde48001122	MTG 042-043			AllenDend:CS201908210_121																			subclass
http://brain_data_standards/scratch_3a681a54-21e5-11eb-bce3-acde48001122	MTG 042	Inh L2-4 PVALB WFDC2		AllenDend:CS201908210_42																			subclass
http://brain_data_standards/scratch_3a681aa4-21e5-11eb-bce3-acde48001122	MTG 043	Inh L4-6 PVALB SULF1		AllenDend:CS201908210_43																			subclass
http://brain_data_standards/scratch_3a681b08-21e5-11eb-bce3-acde48001122	MTG 044	Inh L5-6 SST MIR548F2		AllenDend:CS201908210_44																			subclass
http://brain_data_standards/scratch_3a681b62-21e5-11eb-bce3-acde48001122	MTG 045	Inh L2-5 PVALB SCUBE3		AllenDend:CS201908210_45																			subclass
http://brain_data_standards/scratch_3a681bbc-21e5-11eb-bce3-acde48001122	MTG 046-069	Excitatory		AllenDend:CS201908210_122																			subclass
http://brain_data_standards/scratch_3a681c20-21e5-11eb-bce3-acde48001122	MTG 046-063			AllenDend:CS201908210_123																			subclass
http://brain_data_standards/scratch_3a681c7a-21e5-11eb-bce3-acde48001122	MTG 046-060			AllenDend:CS201908210_124																			subclass
http://brain_data_standards/scratch_3a681cde-21e5-11eb-bce3-acde48001122	MTG 046-059			AllenDend:CS201908210_125																			subclass
http://brain_data_standards/scratch_3a681d2e-21e5-11eb-bce3-acde48001122	MTG 046-049			AllenDend:CS201908210_126																			subclass
http://brain_data_standards/scratch_3a681d88-21e5-11eb-bce3-acde48001122	MTG 046-048	L2/3		AllenDend:CS201908210_127																			subclass
http://brain_data_standards/scratch_3a681dec-21e5-11eb-bce3-acde48001122	MTG 046-047			AllenDend:CS201908210_128																			subclass
http://brain_data_standards/scratch_3a681e46-21e5-11eb-bce3-acde48001122	MTG 046	Exc L2 LAMP5 LTK		AllenDend:CS201908210_46																			subclass
http://brain_data_standards/scratch_3a681ea0-21e5-11eb-bce3-acde48001122	MTG 047	Exc L2-4 LINC00507 GLP2R		AllenDend:CS201908210_47																			subclass
http://brain_data_standards/scratch_3a681f0e-21e5-11eb-bce3-acde48001122	MTG 048	Exc L2-3 LINC00507 FREM3		AllenDend:CS201908210_48																			subclass
http://brain_data_standards/scratch_3a681f68-21e5-11eb-bce3-acde48001122	MTG 049	Exc L5-6 THEMIS C1QL3		AllenDend:CS201908210_49																			subclass
http://brain_data_standards/scratch_3a681fd6-21e5-11eb-bce3-acde48001122	MTG 050-059	RORB		AllenDend:CS201908210_129																			subclass
http://brain_data_standards/scratch_3a682030-21e5-11eb-bce3-acde48001122	MTG 050-054	L4		AllenDend:CS201908210_130																			subclass
http://brain_data_standards/scratch_3a682080-21e5-11eb-bce3-acde48001122	MTG 050	Exc L3-4 RORB CARM1P1		AllenDend:CS201908210_50																			subclass
http://brain_data_standards/scratch_3a6820e4-21e5-11eb-bce3-acde48001122	MTG 051-054			AllenDend:CS201908210_131																			subclass
http://brain_data_standards/scratch_3a68213e-21e5-11eb-bce3-acde48001122	MTG 051	Exc L3-5 RORB ESR1		AllenDend:CS201908210_51																			subclass
http://brain_data_standards/scratch_3a68218e-21e5-11eb-bce3-acde48001122	MTG 052-054			AllenDend:CS201908210_132																			subclass
http://brain_data_standards/scratch_3a682206-21e5-11eb-bce3-acde48001122	MTG 052	Exc L3-5 RORB COL22A1		AllenDend:CS201908210_52																			subclass
http://brain_data_standards/scratch_3a682260-21e5-11eb-bce3-acde48001122	MTG 053-054			AllenDend:CS201908210_133																			subclass
http://brain_data_standards/scratch_3a6822c4-21e5-11eb-bce3-acde48001122	MTG 053	Exc L3-5 RORB FILIP1L		AllenDend:CS201908210_53																			subclass
http://brain_data_standards/scratch_3a68231e-21e5-11eb-bce3-acde48001122	MTG 054	Exc L3-5 RORB TWIST2		AllenDend:CS201908210_54																			subclass
http://brain_data_standards/scratch_3a682378-21e5-11eb-bce3-acde48001122	MTG 055-059			AllenDend:CS201908210_134																			subclass
http://brain_data_standards/scratch_3a6823dc-21e5-11eb-bce3-acde48001122	MTG 055-057			AllenDend:CS201908210_135																			subclass
http://brain_data_standards/scratch_3a682436-21e5-11eb-bce3-acde48001122	MTG 055	Exc L4-5 RORB FOLH1B		AllenDend:CS201908210_55																			subclass
http://brain_data_standards/scratch_3a682486-21e5-11eb-bce3-acde48001122	MTG 056-057			AllenDend:CS201908210_136																			subclass
http://brain_data_standards/scratch_3a6824e0-21e5-11eb-bce3-acde48001122	MTG 056	Exc L4-6 RORB SEMA3E		AllenDend:CS201908210_56																			subclass
http://brain_data_standards/scratch_3a682530-21e5-11eb-bce3-acde48001122	MTG 057	Exc L4-5 RORB DAPK2		AllenDend:CS201908210_57																			subclass
http://brain_data_standards/scratch_3a68259e-21e5-11eb-bce3-acde48001122	MTG 058-059			AllenDend:CS201908210_137																			subclass
http://brain_data_standards/scratch_3a6825ee-21e5-11eb-bce3-acde48001122	MTG 058	Exc L5-6 RORB TTC12		AllenDend:CS201908210_58																			subclass
http://brain_data_standards/scratch_3a682648-21e5-11eb-bce3-acde48001122	MTG 059	Exc L4-6 RORB C1R		AllenDend:CS201908210_59																			subclass
http://brain_data_standards/scratch_3a6826ac-21e5-11eb-bce3-acde48001122	MTG 060	Exc L4-5 FEZF2 SCN4B		AllenDend:CS201908210_60																			subclass
http://brain_data_standards/scratch_3a6826fc-21e5-11eb-bce3-acde48001122	MTG 061-063	L6		AllenDend:CS201908210_138																			subclass
http://brain_data_standards/scratch_3a68274c-21e5-11eb-bce3-acde48001122	MTG 061	Exc L5-6 THEMIS DCSTAMP		AllenDend:CS201908210_61																			subclass
http://brain_data_standards/scratch_3a6827ba-21e5-11eb-bce3-acde48001122	MTG 062-063			AllenDend:CS201908210_139																			subclass
http://brain_data_standards/scratch_3a68280a-21e5-11eb-bce3-acde48001122	MTG 062	Exc L5-6 THEMIS CRABP1		AllenDend:CS201908210_62																			subclass
http://brain_data_standards/scratch_3a682878-21e5-11eb-bce3-acde48001122	MTG 063	Exc L5-6 THEMIS FGF10		AllenDend:CS201908210_63																			subclass
http://brain_data_standards/scratch_3a6828e6-21e5-11eb-bce3-acde48001122	MTG 064-069	FEZF2		AllenDend:CS201908210_140																			subclass
http://brain_data_standards/scratch_3a68295e-21e5-11eb-bce3-acde48001122	MTG 064	Exc L4-6 FEZF2 IL26		AllenDend:CS201908210_64																			subclass
http://brain_data_standards/scratch_3a6829c2-21e5-11eb-bce3-acde48001122	MTG 065-069	L6		AllenDend:CS201908210_141																			subclass
http://brain_data_standards/scratch_3a682a1c-21e5-11eb-bce3-acde48001122	MTG 065	Exc L5-6 FEZF2 ABO		AllenDend:CS201908210_65																			subclass
http://brain_data_standards/scratch_3a682a76-21e5-11eb-bce3-acde48001122	MTG 066-069			AllenDend:CS201908210_142																			subclass
http://brain_data_standards/scratch_3a682ac6-21e5-11eb-bce3-acde48001122	MTG 066-068			AllenDend:CS201908210_143																			subclass
http://brain_data_standards/scratch_3a682b20-21e5-11eb-bce3-acde48001122	MTG 066-067			AllenDend:CS201908210_144																			subclass
http://brain_data_standards/scratch_3a682b7a-21e5-11eb-bce3-acde48001122	MTG 066	Exc L6 FEZF2 SCUBE1		AllenDend:CS201908210_66																			subclass
http://brain_data_standards/scratch_3a682bf2-21e5-11eb-bce3-acde48001122	MTG 067	Exc L5-6 FEZF2 IL15		AllenDend:CS201908210_67																			subclass
http://brain_data_standards/scratch_3a682cb0-21e5-11eb-bce3-acde48001122	MTG 068	Exc L6 FEZF2 OR2T8		AllenDend:CS201908210_68																			subclass
http://brain_data_standards/scratch_3a682dc8-21e5-11eb-bce3-acde48001122	MTG 069	Exc L5-6 FEZF2 EFTUD1P1		AllenDend:CS201908210_69																			subclass
http://brain_data_standards/scratch_3a682f80-21e5-11eb-bce3-acde48001122	MTG 070-075	Non-neuronal		AllenDend:CS201908210_145																			subclass
http://brain_data_standards/scratch_3a683066-21e5-11eb-bce3-acde48001122	MTG 070-074			AllenDend:CS201908210_146																			subclass
http://brain_data_standards/scratch_3a68316a-21e5-11eb-bce3-acde48001122	MTG 070-073			AllenDend:CS201908210_147																			subclass
http://brain_data_standards/scratch_3a6832be-21e5-11eb-bce3-acde48001122	MTG 070-072			AllenDend:CS201908210_148																			subclass
http://brain_data_standards/scratch_3a6833b8-21e5-11eb-bce3-acde48001122	MTG 070	OPC L1-6 PDGFRA		AllenDend:CS201908210_70																			subclass
http://brain_data_standards/scratch_3a683444-21e5-11eb-bce3-acde48001122	MTG 071-072			AllenDend:CS201908210_149																			subclass
http://brain_data_standards/scratch_3a683494-21e5-11eb-bce3-acde48001122	MTG 071	Astro L1-6 FGFR3 SLC14A1		AllenDend:CS201908210_71																			subclass
http://brain_data_standards/scratch_3a68355c-21e5-11eb-bce3-acde48001122	MTG 072	Astro L1-2 FGFR3 GFAP		AllenDend:CS201908210_72																			subclass
http://brain_data_standards/scratch_3a6836ba-21e5-11eb-bce3-acde48001122	MTG 073	Oligo L1-6 OPALIN		AllenDend:CS201908210_73																			subclass
http://brain_data_standards/scratch_3a6837d2-21e5-11eb-bce3-acde48001122	MTG 074	Endo L2-6 NOSTRIN		AllenDend:CS201908210_74																			subclass
http://brain_data_standards/scratch_3a683868-21e5-11eb-bce3-acde48001122	MTG 075	Micro L1-6 TYROBP		AllenDend:CS201908210_75																			subclass
