defined_class	homologous_to	homology_similarity_score
http://purl.obolibrary.org/obo/PCL_0019128	http://purl.obolibrary.org/obo/PCL_0011245	
http://purl.obolibrary.org/obo/PCL_0019128	http://purl.obolibrary.org/obo/PCL_0015165	
http://purl.obolibrary.org/obo/PCL_0019129	http://purl.obolibrary.org/obo/PCL_0011247	
http://purl.obolibrary.org/obo/PCL_0019129	http://purl.obolibrary.org/obo/PCL_0015169	
http://purl.obolibrary.org/obo/PCL_0019130	http://purl.obolibrary.org/obo/PCL_0011249	
http://purl.obolibrary.org/obo/PCL_0019130	http://purl.obolibrary.org/obo/PCL_0015172	
http://purl.obolibrary.org/obo/PCL_0019131	http://purl.obolibrary.org/obo/PCL_0011190	
http://purl.obolibrary.org/obo/PCL_0019131	http://purl.obolibrary.org/obo/PCL_0015173	
http://purl.obolibrary.org/obo/PCL_0019132	http://purl.obolibrary.org/obo/PCL_0011251	
http://purl.obolibrary.org/obo/PCL_0019132	http://purl.obolibrary.org/obo/PCL_0015178	
http://purl.obolibrary.org/obo/PCL_0019133	http://purl.obolibrary.org/obo/PCL_0015124	
http://purl.obolibrary.org/obo/PCL_0019134	http://purl.obolibrary.org/obo/PCL_0015126	
