defined_class	gross_cell_type	taxon	brain_region	denorm_marker_list	minimal_marker_list
AllenDend:CS202002013_102	CL:0000128	CCN202002013	UBERON:0001384	Kank1,Sytl2,Prom1	Kank1,Prom1,Sytl2
AllenDend:CS202002013_219		CCN202002013	UBERON:0001384		
AllenDend:CS202002013_220		CCN202002013	UBERON:0001384		
AllenDend:CS202002013_103	CL:1001602	CCN202002013	UBERON:0001384		Adgrl4,Slco1a4
AllenDend:CS202002013_221		CCN202002013	UBERON:0001384		
AllenDend:CS202002013_222		CCN202002013	UBERON:0001384	Foxd1,Eya2	Eya2,Foxd1
AllenDend:CS202002013_223		CCN202002013	UBERON:0001384		
AllenDend:CS202002013_224		CCN202002013	UBERON:0001384		
AllenDend:CS202002013_104		CCN202002013	UBERON:0001384	Col4a6,Itih5,Gm30624	Col4a6,Gm30624,Itih5
AllenDend:CS202002013_105		CCN202002013	UBERON:0001384	Lama1,Aox3	Aox3,Lama1
AllenDend:CS202002013_225		CCN202002013	UBERON:0001384		
AllenDend:CS202002013_106		CCN202002013	UBERON:0001384	Pkhd1	Pkhd1
AllenDend:CS202002013_107		CCN202002013	UBERON:0001384	Slc6a20a,Prdm6	Prdm6,Slc6a20a
AllenDend:CS202002013_226		CCN202002013	UBERON:0001384		
AllenDend:CS202002013_227		CCN202002013	UBERON:0001384		
AllenDend:CS202002013_108		CCN202002013	UBERON:0001384	Slc47a1	Slc47a1
AllenDend:CS202002013_109		CCN202002013	UBERON:0001384	Prg4,Slc26a7,Dapl1	Dapl1,Prg4,Slc26a7
AllenDend:CS202002013_110		CCN202002013	UBERON:0001384	Tspan8,Dapl1	Dapl1,Tspan8
AllenDend:CS202002013_228		CCN202002013	UBERON:0001384		
AllenDend:CS202002013_111	CL:0000192	CCN202002013	UBERON:0001384		Acta2
AllenDend:CS202002013_112	CL:2000043	CCN202002013	UBERON:0001384		Abcc9,Tbx3os1
AllenDend:CS202002013_229		CCN202002013	UBERON:0001384	Inpp5d	Inpp5d
AllenDend:CS202002013_230		CCN202002013	UBERON:0001384		
AllenDend:CS202002013_113	CL:0000129	CCN202002013	UBERON:0001384		Hexb
AllenDend:CS202002013_231		CCN202002013	UBERON:0001384		
AllenDend:CS202002013_114		CCN202002013	UBERON:0001384	Ms4a4a	Ms4a4a
AllenDend:CS202002013_115		CCN202002013	UBERON:0001384	Cd74,Klra2	Cd74,Klra2
AllenDend:CS202002013_116		CCN202002013	UBERON:0001384	Cd209a	Cd209a
