defined_class	Marker_set_of	Minimal_markers	Brain_region_abbv	Species_abbv	Brain_region	Parent
http://purl.obolibrary.org/obo/PCL_0024519	Inh L2-5 VIP TYR	entrez:1306|entrez:6866	MTG	Human	UBERON:0002771	PCL:0010003
http://purl.obolibrary.org/obo/PCL_0024520	Inh L1-3 VIP CHRM2	entrez:100421401|entrez:101060145	MTG	Human	UBERON:0002771	PCL:0010003
http://purl.obolibrary.org/obo/PCL_0024521	Inh L2-4 VIP CBLN1	entrez:3358|entrez:4311	MTG	Human	UBERON:0002771	PCL:0010003
http://purl.obolibrary.org/obo/PCL_0024522	Inh L1-3 VIP CCDC184	entrez:131096|entrez:256380	MTG	Human	UBERON:0002771	PCL:0010003
http://purl.obolibrary.org/obo/PCL_0024523	Inh L1-3 VIP GGH	entrez:105375473|entrez:8836	MTG	Human	UBERON:0002771	PCL:0010003
http://purl.obolibrary.org/obo/PCL_0024524	Inh L1-2 VIP LBH	entrez:105379146|entrez:642597	MTG	Human	UBERON:0002771	PCL:0010003
http://purl.obolibrary.org/obo/PCL_0024525	Inh L2-3 VIP CASC6	entrez:101929083|entrez:105370456|entrez:220416	MTG	Human	UBERON:0002771	PCL:0010003
http://purl.obolibrary.org/obo/PCL_0024526	Inh L2-4 VIP SPAG17	entrez:101929052|entrez:23657	MTG	Human	UBERON:0002771	PCL:0010003
http://purl.obolibrary.org/obo/PCL_0024527	Inh L1-4 VIP OPRM1	entrez:101929690|entrez:5121|entrez:6581	MTG	Human	UBERON:0002771	PCL:0010003
http://purl.obolibrary.org/obo/PCL_0024528	Inh L3-6 SST NPY	entrez:4852	MTG	Human	UBERON:0002771	PCL:0010003
http://purl.obolibrary.org/obo/PCL_0024529	Inh L3-6 SST HPGD	entrez:26002|entrez:3248|entrez:375061	MTG	Human	UBERON:0002771	PCL:0010003
http://purl.obolibrary.org/obo/PCL_0024530	Inh L4-6 SST B3GAT2	entrez:10874|entrez:158326|entrez:6866	MTG	Human	UBERON:0002771	PCL:0010003
http://purl.obolibrary.org/obo/PCL_0024531	Inh L5-6 SST KLHDC8A	entrez:100996671|entrez:105377701	MTG	Human	UBERON:0002771	PCL:0010003
http://purl.obolibrary.org/obo/PCL_0024532	Inh L5-6 SST NPM1P10	entrez:10418|entrez:2201	MTG	Human	UBERON:0002771	PCL:0010003
http://purl.obolibrary.org/obo/PCL_0024533	Inh L4-6 SST GXYLT2	entrez:101929667|entrez:246213|entrez:84109	MTG	Human	UBERON:0002771	PCL:0010003
http://purl.obolibrary.org/obo/PCL_0024534	Inh L4-5 SST STK32A	entrez:202374|entrez:6549	MTG	Human	UBERON:0002771	PCL:0010003
http://purl.obolibrary.org/obo/PCL_0024535	Inh L1-3 SST CALB1	entrez:101929028	MTG	Human	UBERON:0002771	PCL:0010003
http://purl.obolibrary.org/obo/PCL_0024536	Inh L3-5 SST ADGRG6	entrez:57211|entrez:8842	MTG	Human	UBERON:0002771	PCL:0010003
http://purl.obolibrary.org/obo/PCL_0024537	Inh L2-4 SST FRZB	entrez:346007|entrez:4645|entrez:4842|entrez:60495	MTG	Human	UBERON:0002771	PCL:0010003
http://purl.obolibrary.org/obo/PCL_0024538	Inh L5-6 SST TH	entrez:102724957|entrez:7054	MTG	Human	UBERON:0002771	PCL:0010003
http://purl.obolibrary.org/obo/PCL_0024539	Inh L5-6 LHX6 GLP1R	entrez:10512|entrez:590|entrez:79974	MTG	Human	UBERON:0002771	PCL:0010003
http://purl.obolibrary.org/obo/PCL_0024540	Inh L5-6 PVALB LGR5	entrez:340120|entrez:401478|entrez:79974	MTG	Human	UBERON:0002771	PCL:0010003
http://purl.obolibrary.org/obo/PCL_0024541	Inh L4-5 PVALB MEPE	entrez:3082|entrez:56955|entrez:6696	MTG	Human	UBERON:0002771	PCL:0010003
http://purl.obolibrary.org/obo/PCL_0024542	Inh L2-4 PVALB WFDC2	entrez:285195|entrez:6863	MTG	Human	UBERON:0002771	PCL:0010003
http://purl.obolibrary.org/obo/PCL_0024543	Inh L4-6 PVALB SULF1	entrez:23213|entrez:79974	MTG	Human	UBERON:0002771	PCL:0010003
http://purl.obolibrary.org/obo/PCL_0024544	Inh L5-6 SST MIR548F2	entrez:130574|entrez:2262|entrez:5074	MTG	Human	UBERON:0002771	PCL:0010003
http://purl.obolibrary.org/obo/PCL_0024545	Inh L2-5 PVALB SCUBE3	entrez:1306|entrez:401478	MTG	Human	UBERON:0002771	PCL:0010003
http://purl.obolibrary.org/obo/PCL_0024546	Exc L2 LAMP5 LTK	entrez:102723742|entrez:147381	MTG	Human	UBERON:0002771	PCL:0010003
http://purl.obolibrary.org/obo/PCL_0024547	Exc L2-4 LINC00507 GLP2R	entrez:10203|entrez:26002|entrez:5179	MTG	Human	UBERON:0002771	PCL:0010003
http://purl.obolibrary.org/obo/PCL_0024548	Exc L2-3 LINC00507 FREM3	entrez:23316|entrez:54873	MTG	Human	UBERON:0002771	PCL:0010003
http://purl.obolibrary.org/obo/PCL_0024549	Exc L5-6 THEMIS C1QL3	entrez:144920|entrez:387357|entrez:7837	MTG	Human	UBERON:0002771	PCL:0010003
http://purl.obolibrary.org/obo/PCL_0024550	Exc L3-4 RORB CARM1P1	entrez:100130873|entrez:80323|entrez:8492	MTG	Human	UBERON:0002771	PCL:0010003
http://purl.obolibrary.org/obo/PCL_0024551	Exc L3-5 RORB ESR1	entrez:105371677|entrez:301	MTG	Human	UBERON:0002771	PCL:0010003
http://purl.obolibrary.org/obo/PCL_0024552	Exc L3-5 RORB COL22A1	entrez:196475|entrez:4311	MTG	Human	UBERON:0002771	PCL:0010003
http://purl.obolibrary.org/obo/PCL_0024553	Exc L3-5 RORB FILIP1L	entrez:101928196|entrez:1290|entrez:22854|entrez:23316	MTG	Human	UBERON:0002771	PCL:0010003
http://purl.obolibrary.org/obo/PCL_0024554	Exc L3-5 RORB TWIST2	entrez:101927281|entrez:117581|entrez:643677	MTG	Human	UBERON:0002771	PCL:0010003
http://purl.obolibrary.org/obo/PCL_0024555	Exc L4-5 RORB FOLH1B	entrez:101927835|entrez:282996|entrez:4887	MTG	Human	UBERON:0002771	PCL:0010003
http://purl.obolibrary.org/obo/PCL_0024556	Exc L4-6 RORB SEMA3E	entrez:101928622|entrez:56475	MTG	Human	UBERON:0002771	PCL:0010003
http://purl.obolibrary.org/obo/PCL_0024557	Exc L4-5 RORB DAPK2	entrez:101928151|entrez:105374971|entrez:8538	MTG	Human	UBERON:0002771	PCL:0010003
http://purl.obolibrary.org/obo/PCL_0024558	Exc L5-6 RORB TTC12	entrez:105371833|entrez:10886|entrez:7139	MTG	Human	UBERON:0002771	PCL:0010003
http://purl.obolibrary.org/obo/PCL_0024559	Exc L4-6 RORB C1R	entrez:22801|entrez:84466|entrez:9033	MTG	Human	UBERON:0002771	PCL:0010003
http://purl.obolibrary.org/obo/PCL_0024560	Exc L4-5 FEZF2 SCN4B	entrez:105376457|entrez:105378657	MTG	Human	UBERON:0002771	PCL:0010003
http://purl.obolibrary.org/obo/PCL_0024561	Exc L5-6 THEMIS DCSTAMP	entrez:101928196|entrez:105378486	MTG	Human	UBERON:0002771	PCL:0010003
http://purl.obolibrary.org/obo/PCL_0024562	Exc L5-6 THEMIS CRABP1	entrez:25903|entrez:6641	MTG	Human	UBERON:0002771	PCL:0010003
http://purl.obolibrary.org/obo/PCL_0024563	Exc L5-6 THEMIS FGF10	entrez:101928964|entrez:283431	MTG	Human	UBERON:0002771	PCL:0010003
http://purl.obolibrary.org/obo/PCL_0024564	Exc L4-6 FEZF2 IL26	entrez:100885789|entrez:55801	MTG	Human	UBERON:0002771	PCL:0010003
http://purl.obolibrary.org/obo/PCL_0024565	Exc L5-6 FEZF2 ABO	entrez:23213|entrez:92949	MTG	Human	UBERON:0002771	PCL:0010003
http://purl.obolibrary.org/obo/PCL_0024566	Exc L6 FEZF2 SCUBE1	entrez:105379054|entrez:5288	MTG	Human	UBERON:0002771	PCL:0010003
http://purl.obolibrary.org/obo/PCL_0024567	Exc L5-6 FEZF2 IL15	entrez:2078|entrez:255743|entrez:4929	MTG	Human	UBERON:0002771	PCL:0010003
http://purl.obolibrary.org/obo/PCL_0024568	Exc L6 FEZF2 OR2T8	entrez:26577|entrez:3486|entrez:729025|entrez:84189	MTG	Human	UBERON:0002771	PCL:0010003
http://purl.obolibrary.org/obo/PCL_0024569	Exc L5-6 FEZF2 EFTUD1P1	entrez:105377183|entrez:10886	MTG	Human	UBERON:0002771	PCL:0010003
http://purl.obolibrary.org/obo/PCL_0024570	OPC L1-6 PDGFRA	entrez:5156|entrez:65217	MTG	Human	UBERON:0002771	PCL:0010003
http://purl.obolibrary.org/obo/PCL_0024571	Astro L1-6 FGFR3 SLC14A1	entrez:105376917|entrez:6507	MTG	Human	UBERON:0002771	PCL:0010003
http://purl.obolibrary.org/obo/PCL_0024572	Astro L1-2 FGFR3 GFAP	entrez:3399|entrez:4494	MTG	Human	UBERON:0002771	PCL:0010003
http://purl.obolibrary.org/obo/PCL_0024573	Oligo L1-6 OPALIN	entrez:51148|entrez:5168	MTG	Human	UBERON:0002771	PCL:0010003
http://purl.obolibrary.org/obo/PCL_0024574	Endo L2-6 NOSTRIN	entrez:51705	MTG	Human	UBERON:0002771	PCL:0010003
http://purl.obolibrary.org/obo/PCL_0024575	Micro L1-6 TYROBP	entrez:1436|entrez:54518	MTG	Human	UBERON:0002771	PCL:0010003
